"age","ed","sex"
29,10,1
36,12,1
22,9,1
30,0,2
37,0,2
32,0,2
30,9,2
38,4,2
25,9,2
27,7,1
20,12,1
42,15,1
25,10,2
23,8,1
24,6,2
36,7,1
28,6,2
22,7,2
34,3,2
19,8,1
28,5,1
28,9,1
30,9,1
40,4,1
21,6,2
19,7,1
18,10,1
22,5,1
21,8,2
29,9,1
29,5,1
35,2,1
34,5,2
32,9,2
25,7,2
32,2,1
25,7,2
26,15,1
27,2,1
18,8,1
28,5,1
25,0,1
44,12,1
34,5,1
33,5,2
31,9,1
24,8,1
34,4,1
32,9,1
35,5,1
28,2,1
28,3,1
18,9,2
30,5,2
29,6,1
18,6,2
38,0,2
19,5,2
18,9,2
24,9,1
27,5,1
33,15,1
36,5,2
50,10,2
28,9,1
22,12,2
19,10,1
40,4,2
21,10,2
20,12,2
28,7,2
20,5,2
34,12,1
19,9,2
18,10,2
27,9,1
18,10,1
24,9,2
30,4,1
31,10,2
27,6,2
20,10,1
48,10,1
38,5,1
27,5,2
24,7,2
18,0,1
33,16,2
23,3,1
20,5,1
45,16,1
25,6,1
25,4,1
19,9,1
20,9,2
38,5,2
33,9,1
39,6,2
36,5,2
24,0,1
26,16,2
34,6,1
30,12,1
25,0,1
37,0,2
19,10,2
38,12,1
18,5,1
33,9,1
35,4,2
38,5,2
18,8,2
32,12,1
27,10,2
23,10,1
20,10,2
19,9,2
40,4,2
30,10,2
19,8,1
35,10,1
31,9,1
40,0,1
22,9,2
24,6,1
36,12,2
20,6,1
25,5,1
38,0,1
24,6,1
42,4,2
33,0,1
25,6,1
26,7,2
28,10,1
21,5,2
26,9,2
29,16,1
18,5,1
22,12,2
20,7,2
20,2,1
20,9,2
20,4,2
24,0,1
47,0,1
21,10,1
28,5,1
35,12,2
38,10,2
35,16,1
20,0,1
41,15,1
34,10,2
19,9,2
26,9,1
45,5,1
24,10,1
30,5,2
22,10,2
18,9,1
27,8,2
33,4,2
22,6,1
31,7,2
40,15,1
35,5,1
30,10,2
25,10,1
28,8,1
38,0,2
30,9,2
30,12,1
28,5,2
36,12,2
23,9,2
27,10,2
28,6,2
19,8,2
31,15,1
37,4,1
39,8,1
35,0,2
40,9,2
18,10,1
29,12,1
25,8,2
34,12,1
22,12,2
22,6,2
24,7,2
25,12,1
31,5,2
34,12,1
29,0,1
29,10,1
27,0,2
25,7,1
31,15,2
24,5,1
35,9,2
26,9,1
36,5,2
32,2,2
28,9,2
18,10,1
20,8,1
18,0,1
38,5,2
34,12,1
35,12,1
25,5,2
26,8,2
25,10,1
22,5,2
24,9,1
25,3,2
26,5,2
40,5,1
27,12,1
20,6,1
23,12,2
26,5,2
37,2,2
28,10,1
26,16,1
27,4,1
30,9,1
18,7,1
22,9,1
22,7,2
28,9,2
24,5,1
40,0,1
34,3,2
40,0,2
18,9,2
24,5,1
25,9,1
