"age","ed","sex","agef","edf","agem","edm","fam_id"
29,10,1,65,12,52,10,"pxljf"
22,9,1,60,0,52,0,"gfqpa"
30,0,2,59,0,51,0,"vi6j0"
32,0,2,69,2,52,0,"sxrg1"
30,9,2,55,0,48,0,"fy61p"
25,9,2,70,5,47,0,"vj2ik"
27,7,1,66,2,49,0,"vzazt"
20,12,1,60,15,44,10,"m0gn8"
42,15,1,72,0,59,3,"rjyg1"
36,7,1,72,7,59,4,"wpn3w"
28,6,2,60,9,46,1,"utxuz"
34,3,2,72,0,52,0,"bqr76"
19,8,1,50,9,44,4,"utyrm"
21,6,2,57,0,42,0,"ra7ol"
18,10,1,70,4,59,4,"b5r0i"
21,8,2,60,5,52,0,"g8nmy"
29,9,1,50,4,44,0,"uhbwi"
29,5,1,75,0,60,0,"wbha5"
32,9,2,70,10,62,5,"zxvfs"
25,7,2,52,6,44,0,"icv57"
26,15,1,70,0,60,0,"ckg9d"
25,0,1,57,0,56,0,"dmh87"
44,12,1,70,5,59,0,"di1vx"
33,5,2,64,5,54,0,"mv2wp"
34,4,1,70,0,62,0,"wy6hl"
32,9,1,67,0,64,0,"beiu7"
28,2,1,65,0,64,0,"moyjz"
28,3,1,60,0,50,0,"sobak"
18,9,2,45,5,37,2,"m1vol"
30,5,2,73,0,41,0,"sipd3"
29,6,1,68,0,51,2,"ex7jh"
18,6,2,50,0,43,2,"w6ni1"
19,5,2,55,0,41,0,"mpgi5"
27,5,1,63,0,53,0,"qorhb"
33,15,1,70,0,60,0,"ckg9d"
50,10,2,50,15,40,9,"s66xu"
28,9,1,65,15,49,9,"a16c0"
22,12,2,58,0,49,0,"cf4bt"
40,4,2,73,0,41,0,"sipd3"
21,10,2,59,10,51,4,"pom90"
20,12,2,48,9,42,3,"b631y"
34,12,1,66,4,53,0,"l4wgh"
19,9,2,52,6,41,5,"qfoks"
27,9,1,67,0,59,2,"ssgpw"
24,9,2,68,9,54,8,"omeqj"
30,4,1,80,0,60,0,"wm10q"
31,10,2,60,0,51,0,"o99sa"
27,6,2,69,7,49,5,"o1hoz"
20,10,1,49,6,42,6,"s7pfq"
38,5,1,73,0,63,0,"hiakr"
27,5,2,52,6,44,0,"icv57"
23,3,1,70,0,62,0,"wy6hl"
20,5,1,55,0,43,0,"fk4i1"
25,6,1,70,0,55,0,"vll55"
25,4,1,78,4,52,0,"jgv4t"
19,9,1,45,8,37,9,"oo5vl"
20,9,2,69,2,59,5,"td4g8"
38,5,2,67,0,54,0,"hlkwd"
33,9,1,60,0,51,0,"o99sa"
36,5,2,70,0,58,0,"cg20v"
24,0,1,65,0,50,0,"ij4ij"
30,12,1,65,7,50,4,"fo41d"
25,0,1,71,7,50,4,"xepti"
38,12,1,75,3,67,0,"hwds7"
18,5,1,55,0,49,0,"ozlic"
33,9,1,73,8,53,3,"qqjjr"
38,5,2,66,4,60,5,"qg79k"
18,8,2,65,0,51,0,"ndvwv"
27,10,2,52,8,46,5,"p4vcb"
23,10,1,58,0,50,0,"l4h99"
19,9,2,50,0,39,5,"jwatz"
40,4,2,70,5,64,0,"fcw6f"
30,10,2,70,0,60,0,"ckg9d"
19,8,1,51,9,39,5,"h5cs0"
35,10,1,70,0,63,0,"vw1re"
31,9,1,59,10,51,4,"pom90"
40,0,1,73,0,63,0,"hiakr"
22,9,2,60,0,51,0,"o99sa"
24,6,1,53,0,49,0,"wgapu"
36,12,2,72,0,59,3,"rjyg1"
38,0,1,65,0,59,0,"vcfxl"
24,6,1,69,2,59,5,"td4g8"
25,6,1,72,7,59,4,"wpn3w"
26,7,2,26,5,50,3,"esrwi"
21,5,2,55,0,50,0,"ovd81"
26,9,2,56,9,49,5,"shmd3"
29,16,1,60,16,50,4,"brhhr"
18,5,1,60,7,35,0,"cm3zq"
20,7,2,50,3,41,5,"p8e25"
20,2,1,58,0,50,0,"l4h99"
20,9,2,65,0,57,0,"shpec"
20,4,2,48,0,41,0,"v32pv"
24,0,1,72,0,61,2,"mv284"
21,10,1,40,0,50,5,"cqzf4"
28,5,1,54,0,47,4,"rd255"
35,12,2,70,0,54,2,"qu8q7"
35,16,1,65,4,58,2,"egh95"
20,0,1,44,10,42,7,"urnd8"
41,15,1,67,2,50,0,"rg8nq"
34,10,2,66,5,56,0,"i9p41"
19,9,2,62,13,48,9,"s09h4"
45,5,1,73,0,63,0,"hiakr"
24,10,1,75,0,61,0,"a3m1d"
30,5,2,62,0,56,0,"qjcf2"
22,10,2,65,0,45,6,"h2j5o"
27,8,2,70,5,55,0,"nukgk"
33,4,2,67,0,54,0,"hlkwd"
22,6,1,65,0,40,0,"h0j6m"
31,7,2,57,0,56,0,"dmh87"
40,15,1,70,0,60,0,"ckg9d"
35,5,1,60,4,53,2,"radyp"
30,10,2,50,4,44,0,"yhwui"
38,0,2,75,8,61,5,"hz7ma"
30,9,2,69,7,49,5,"o1hoz"
28,5,2,75,0,61,0,"a3m1d"
36,12,2,67,5,57,5,"i5ntx"
23,9,2,60,0,54,0,"hra05"
27,10,2,60,5,52,0,"g8nmy"
19,8,2,60,0,51,0,"o99sa"
31,15,1,65,4,49,3,"e8343"
37,4,1,73,0,61,0,"px6hf"
35,0,2,60,0,51,0,"otf98"
40,9,2,68,8,59,5,"k4q74"
18,10,1,52,4,45,4,"gtbir"
29,12,1,59,8,47,5,"hl6w4"
25,8,2,65,7,50,4,"fo41d"
34,12,1,55,9,52,4,"e8lpb"
22,12,2,55,9,48,5,"e004w"
24,7,2,50,9,40,10,"ujexk"
25,12,1,48,12,42,5,"fsqiv"
31,5,2,66,2,49,0,"vzazt"
34,12,1,65,6,58,5,"foc0g"
29,0,1,58,0,46,0,"fb1td"
29,10,1,35,6,52,3,"drdex"
27,0,2,59,0,51,0,"vi6j0"
31,15,2,72,0,61,0,"fxd51"
24,5,1,65,0,52,0,"uuy7d"
32,2,2,72,0,52,0,"bqr76"
28,9,2,54,3,47,0,"o7u9f"
18,0,1,55,0,48,0,"fy61p"
38,5,2,80,0,60,0,"wm10q"
25,5,2,55,0,49,0,"ty6xk"
26,8,2,65,7,66,2,"tuj4r"
25,10,1,65,12,52,10,"pxljf"
22,5,2,48,3,41,3,"f4sfu"
26,5,2,65,2,51,0,"pm1t6"
27,12,1,54,3,50,3,"njqtj"
20,6,1,60,4,53,2,"radyp"
28,10,1,70,5,47,0,"vj2ik"
26,16,1,70,15,53,10,"qnn1q"
27,4,1,49,0,45,0,"q848p"
30,9,1,65,5,55,5,"itww2"
22,9,1,66,5,56,0,"i9p41"
22,7,2,51,0,43,5,"hsd9n"
24,5,1,57,8,50,5,"o1uxi"
18,9,2,56,10,40,10,"wyj1a"
25,9,1,50,4,44,0,"uhbwi"
26,6,2,63,4,54,0,"l42ru"
22,5,1,51,0,43,5,"hsd9n"
30,8,2,70,0,55,0,"vll55"
28,3,2,69,0,62,2,"h8wdm"
34,9,1,56,7,51,0,"xa9td"
18,10,1,45,12,43,9,"mjw9m"
30,12,1,70,10,52,0,"ll454"
31,9,2,60,5,53,3,"gm54u"
32,8,1,69,0,58,0,"pzy3z"
37,10,1,72,0,60,1,"u0pae"
25,3,2,55,2,45,3,"zu265"
24,0,2,48,0,42,0,"w830t"
23,8,2,50,4,40,0,"bx8sw"
29,8,1,66,2,49,0,"vzazt"
20,6,2,26,5,50,3,"esrwi"
20,7,2,46,9,47,8,"xjg7i"
26,12,1,60,12,46,7,"r9s46"
39,10,2,72,0,59,3,"rjyg1"
27,12,1,67,5,57,5,"i5ntx"
25,3,2,55,0,50,0,"aetxe"
21,10,2,60,5,51,4,"v1rwo"
25,8,1,50,0,43,5,"s5hga"
20,10,2,65,7,66,2,"tuj4r"
28,7,2,64,2,57,0,"dfu4j"
23,9,2,60,0,47,0,"gyh4a"
23,5,2,65,4,52,0,"xvlln"
28,5,2,70,4,59,4,"b5r0i"
18,0,1,50,0,40,0,"otcjj"
38,4,2,75,0,63,0,"sjffo"
19,9,1,47,0,43,5,"yltkz"
29,10,2,65,15,53,7,"py6jv"
23,8,2,55,0,49,0,"ty6xk"
26,10,1,64,9,48,5,"tx9i8"
39,9,1,53,6,54,0,"q3lkd"
28,3,1,50,0,46,0,"yvgp9"
39,9,1,70,5,64,0,"fcw6f"
21,5,1,70,7,42,0,"dysru"
39,0,1,73,4,63,2,"lltyy"
25,5,1,55,0,50,0,"ovd81"
20,7,1,51,0,43,5,"hsd9n"
30,9,1,68,9,54,8,"omeqj"
21,9,2,60,9,46,5,"fufo0"
36,7,2,67,2,50,0,"rg8nq"
22,1,1,49,0,45,0,"q848p"
42,12,1,75,9,60,4,"ufx8a"
18,8,2,52,2,44,3,"uy45y"
22,9,1,69,7,49,5,"o1hoz"
25,2,2,55,0,43,0,"fk4i1"
19,10,2,65,7,52,2,"d1q55"
37,3,2,75,8,55,2,"laslf"
21,5,1,54,8,48,4,"q1u3u"
24,9,2,65,0,55,0,"sl1bt"
18,10,1,42,4,50,0,"zsswl"
25,12,2,60,10,52,5,"ptjft"
28,8,1,75,0,63,0,"sjffo"
26,0,2,65,0,59,0,"vcfxl"
25,10,2,60,16,50,4,"brhhr"
18,5,1,72,0,60,1,"u0pae"
20,9,2,53,0,49,0,"wgapu"
25,9,2,54,5,51,0,"t33k1"
28,18,1,50,12,50,8,"c39yv"
29,0,2,66,0,47,0,"m387c"
37,9,1,69,0,58,0,"pzy3z"
30,5,1,70,5,54,0,"o5i5n"
28,9,1,60,4,48,5,"ymr22"
18,12,1,55,10,48,7,"wvicz"
24,10,1,65,15,53,7,"py6jv"
25,9,2,52,0,45,0,"kupk4"
25,9,2,45,5,44,0,"yf94w"
30,4,1,60,4,53,2,"radyp"
35,14,1,75,8,55,2,"laslf"
26,9,2,68,3,57,0,"hsfhs"
33,6,2,55,0,50,0,"ovd81"
23,9,1,54,3,50,3,"njqtj"
20,5,1,65,0,46,0,"guiep"
29,5,1,72,5,53,0,"toybu"
25,2,1,62,0,45,0,"bzr0t"
23,9,1,54,8,48,4,"q1u3u"
41,0,1,73,4,63,2,"lltyy"
25,10,1,70,0,54,0,"sm8mw"
26,5,1,55,4,43,5,"az3sv"
27,9,1,68,9,54,8,"omeqj"
35,8,1,35,6,52,3,"drdex"
22,9,2,48,12,42,5,"fsqiv"
21,10,1,50,0,45,2,"nb2dx"
26,7,1,67,0,47,4,"edmeb"
30,10,1,55,6,51,0,"mftd2"
25,0,2,60,0,49,0,"atah0"
37,1,2,70,0,54,0,"sm8mw"
32,6,2,60,0,49,0,"ku6kb"
30,0,2,60,5,54,0,"h5qgs"
37,9,1,67,0,64,0,"beiu7"
30,12,2,70,10,58,5,"cw8uh"
18,9,2,40,9,35,9,"qiaie"
26,12,2,55,9,48,5,"e004w"
20,5,1,55,0,49,0,"ty6xk"
18,10,1,50,5,36,5,"uw5h1"
20,12,1,61,12,49,9,"plcok"
35,9,2,53,6,54,0,"q3lkd"
32,6,1,75,0,61,0,"a3m1d"
41,3,2,80,3,51,0,"xh5q7"
18,7,1,65,0,47,0,"t91ol"
30,12,2,57,0,62,2,"wdiri"
36,5,2,75,8,61,5,"hz7ma"
34,5,2,69,0,62,2,"h8wdm"
33,10,1,67,2,50,0,"rg8nq"
30,8,1,65,2,51,0,"pm1t6"
23,9,2,69,7,49,5,"o1hoz"
24,5,1,52,5,47,2,"u52c8"
33,0,1,54,0,52,0,"qwg5j"
28,9,1,65,5,55,5,"itww2"
32,0,1,66,0,47,0,"m387c"
25,7,1,70,5,54,0,"o5i5n"
40,9,1,65,0,57,0,"shpec"
18,9,2,52,5,47,0,"e4esb"
24,10,1,45,7,46,0,"ipdik"
22,9,2,63,8,54,5,"e0pbj"
27,10,1,55,5,47,3,"srjv4"
23,0,2,55,0,50,0,"aetxe"
32,3,2,68,0,51,2,"ex7jh"
33,10,2,67,0,51,0,"uf8im"
50,0,2,80,8,64,0,"rfw2n"
19,3,1,49,0,45,0,"q848p"
37,12,1,63,8,54,5,"e0pbj"
20,12,1,48,5,39,5,"ayv28"
25,5,2,50,0,46,0,"yvgp9"
31,5,2,67,0,54,0,"hlkwd"
20,12,1,50,5,43,5,"nh5ys"
27,8,1,60,0,47,0,"gyh4a"
18,10,2,47,9,33,8,"v8w64"
27,10,1,58,0,49,0,"cf4bt"
25,9,2,73,8,53,3,"qqjjr"
23,0,1,50,0,46,0,"yvgp9"
30,2,1,69,0,62,2,"h8wdm"
19,12,1,52,12,35,10,"y2lto"
22,10,2,49,6,42,6,"s7pfq"
38,5,2,70,0,58,0,"cg20v"
23,9,1,57,8,50,5,"o1uxi"
32,8,2,35,6,52,3,"drdex"
36,0,2,60,0,54,0,"hra05"
38,9,2,67,5,57,5,"i5ntx"
18,9,2,70,0,62,0,"wy6hl"
28,6,1,62,0,56,0,"qjcf2"
20,10,1,65,7,50,4,"fo41d"
26,5,2,75,0,54,0,"fk588"
27,5,1,62,0,46,0,"yijw5"
18,10,2,60,6,52,0,"mdmfb"
18,12,1,49,12,41,7,"dilx6"
19,12,1,70,10,52,0,"ll454"
25,9,2,69,0,52,0,"pizod"
32,7,1,70,5,64,0,"fcw6f"
19,8,1,53,8,46,0,"hlonx"
21,10,2,70,5,55,0,"nukgk"
21,10,1,57,0,62,2,"wdiri"
30,6,2,63,0,53,0,"qorhb"
21,12,1,50,9,44,4,"utyrm"
21,4,1,47,0,39,0,"pchke"
43,4,2,75,0,61,0,"a3m1d"
23,12,2,65,15,49,9,"a16c0"
23,0,1,72,12,60,5,"vwufk"
19,9,1,60,0,47,3,"zz3gb"
45,0,2,75,0,50,0,"wjc4i"
30,9,1,73,0,61,0,"px6hf"
40,2,1,70,0,55,0,"vll55"
20,8,1,54,5,48,0,"vgone"
26,9,2,52,5,47,2,"u52c8"
30,5,2,75,0,53,0,"mcntt"
32,10,1,80,8,64,0,"rfw2n"
47,4,2,80,8,64,0,"rfw2n"
18,8,1,66,5,56,0,"i9p41"
34,5,2,66,4,60,5,"qg79k"
36,9,1,67,4,48,3,"l2668"
35,4,2,71,7,50,4,"xepti"
29,7,1,55,2,49,0,"frv3o"
23,9,1,53,0,43,7,"kf91h"
27,12,1,55,2,49,0,"frv3o"
30,5,2,78,4,52,0,"jgv4t"
27,8,2,71,0,51,5,"z9bag"
30,6,2,67,4,48,3,"l2668"
26,7,1,56,0,46,0,"dgyu0"
23,5,2,70,4,59,4,"b5r0i"
31,12,2,57,8,50,5,"o1uxi"
32,2,1,38,10,55,0,"eon8a"
27,5,1,60,0,56,0,"tavbl"
25,7,2,60,0,50,0,"kh3bv"
25,10,1,50,12,50,8,"c39yv"
43,3,2,73,0,41,0,"sipd3"
27,5,2,60,5,50,0,"pswsl"
24,7,2,57,0,50,0,"mtdwb"
23,5,1,75,0,54,0,"fk588"
25,9,2,60,9,50,5,"wq2on"
30,2,1,72,0,59,3,"rjyg1"
27,9,2,61,12,49,9,"plcok"
37,6,1,78,0,54,0,"dv82d"
20,10,2,60,0,49,0,"atah0"
18,10,2,52,10,42,8,"sd8po"
27,8,1,62,9,47,7,"bnlgn"
28,15,1,71,4,60,0,"ejntc"
18,10,2,38,9,38,8,"llyow"
34,10,1,65,15,53,7,"py6jv"
31,9,2,60,4,48,5,"ymr22"
18,7,2,65,0,45,6,"h2j5o"
37,5,2,65,6,53,3,"n3r0r"
43,0,2,70,5,64,0,"fcw6f"
