"RP_INC_LOG","HP_INC_LOG","CF_INC_LOG","RF_AGE","RF_AGE_DEATH","RF_YRS_SINCE_DEATH","RM_AGE","RM_AGE_DEATH","RM_YRS_SINCE_DEATH","HF_AGE","HF_AGE_DEATH","HF_YRS_SINCE_DEATH","HM_AGE","HM_AGE_DEATH","HM_YRS_SINCE_DEATH","HUS_AGE","RESP_AGE"
11.0020998412042,10.4912742174382,10.4912742174382,50,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,24
8.53699581871242,NA,11.2772031314492,NA,59,17,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
10.1266311038503,NA,10.9681982895286,NA,102,1,NA,70,12,NA,NA,NA,NA,NA,NA,55,48
NA,NA,11.289781913656,NA,112,8,NA,70,25,NA,85,11,NA,80,5,62,48
8.00636756765025,8.51719319141624,8.51719319141624,NA,70,20,NA,65,15,NA,NA,NA,NA,NA,NA,NA,56
9.90348755253613,NA,9.68034400122192,NA,70,45,NA,80,25,NA,80,30,NA,90,3,75,54
10.0690019910137,9.68034400122192,11.5898865061064,NA,90,8,NA,55,14,NA,90,20,NA,100,1,60,46
9.47270463644367,NA,11.2644641056717,NA,55,5,50,NA,NA,NA,NA,8,80,NA,NA,31,23
10.1266311038503,NA,10.4912742174382,100,NA,NA,NA,75,16,NA,65,15,NA,48,46,55,52
NA,10.4042628404486,10.3089526606443,NA,55,25,NA,45,28,NA,NA,NA,NA,NA,NA,NA,57
8.51719319141624,NA,NA,65,NA,NA,NA,50,9,NA,70,9,NA,60,7,NA,41
7.60090245954208,9.16951837745593,10.77895628989,NA,70,4,NA,65,1,NA,NA,NA,NA,NA,NA,NA,50
12.3544926506484,11.206400304717,11.1844213979982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,NA,10.0858091093301,NA,35,50,NA,65,9,NA,NA,NA,NA,NA,NA,NA,56
11.4295438560312,10.8967393255464,11.3385720778255,NA,65,26,NA,72,4,NA,60,25,NA,62,20,52,43
NA,NA,10.5966347330961,NA,85,12,NA,86,7,NA,NA,NA,NA,70,22,66,60
9.7981270368783,9.61580548008435,10.77895628989,NA,82,14,NA,92,4,NA,85,10,NA,86,6,66,47
NA,NA,NA,NA,50,22,67,NA,NA,74,NA,NA,67,NA,NA,25,20
9.39266192877014,NA,10.77895628989,80,NA,NA,67,NA,NA,NA,60,18,62,NA,NA,38,28
NA,NA,10.8197782844103,NA,75,7,70,NA,NA,NA,60,14,NA,65,9,50,48
NA,NA,10.2035921449865,62,NA,NA,45,NA,NA,NA,40,30,NA,30,28,37,25
7.78322401633604,NA,8.00636756765025,NA,85,13,78,NA,NA,NA,50,40,NA,55,22,65,55
11.0020998412042,11.6172854802945,12.1007121298723,70,NA,NA,55,NA,NA,NA,82,1,NA,65,5,47,40
7.60090245954208,11.7117763237154,11.0020998412042,NA,55,29,NA,55,24,NA,75,10,75,NA,NA,47,43
NA,NA,12.7938593104323,85,NA,NA,70,NA,NA,80,NA,NA,70,NA,NA,55,49
10.6919449129004,10.4042628404486,11.6439537273766,NA,66,35,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
10.8780471925343,NA,10.77895628989,65,NA,NA,54,NA,NA,NA,65,22,NA,72,2,45,33
11.5711943730942,NA,NA,60,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
11.289781913656,NA,12.3883942023241,NA,58,2,49,NA,NA,86,NA,NA,64,NA,NA,32,22
NA,NA,9.90348755253613,NA,80,10,NA,70,3,NA,NA,NA,NA,NA,NA,NA,50
10.8197782844103,10.5966347330961,12.3883942023241,60,NA,NA,50,NA,NA,90,NA,NA,80,NA,NA,30,20
9.7981270368783,10.0858091093301,12.3883942023241,NA,75,5,60,NA,NA,70,NA,NA,55,NA,NA,35,31
NA,NA,10.6735957742322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
9.90348755253613,10.4912742174382,13.3046849341983,80,NA,NA,NA,60,11,80,NA,NA,75,NA,NA,36,31
10.4631033404715,NA,NA,85,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
NA,NA,11.3022044336546,NA,60,19,NA,35,32,NA,NA,40,NA,60,14,45,35
9.61580548008435,10.0858091093301,11.47210347045,NA,50,20,50,NA,NA,71,NA,NA,65,NA,NA,26,22
NA,NA,10.7995755770928,NA,70,16,NA,68,13,NA,80,34,NA,70,31,70,64
11.0020998412042,NA,10.5966347330961,NA,60,20,NA,70,1,NA,75,8,NA,65,9,52,44
10.4912742174382,NA,10.4912742174382,NA,62,15,NA,55,6,NA,NA,NA,NA,NA,NA,62,51
11.1844213979982,9.39266192877014,9.90348755253613,NA,85,2,NA,NA,35,NA,80,11,NA,75,3,46,37
NA,NA,12.3883942023241,67,NA,NA,59,NA,NA,80,NA,NA,65,NA,NA,35,21
10.3089526606443,10.3089526606443,12.1007121298723,80,NA,NA,70,NA,NA,NA,55,45,76,NA,NA,45,36
8.1886891244442,NA,11.1844213979982,60,NA,NA,55,NA,NA,74,NA,NA,62,NA,NA,40,34
8.69951474821019,8.51719319141624,9.61580548008435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,52
NA,8.34283980427146,11.1844213979982,NA,80,12,NA,70,1,NA,NA,NA,NA,NA,NA,NA,51
10.9331069697173,NA,10.0858091093301,NA,67,12,80,NA,NA,NA,85,17,NA,70,12,50,43
10.8780471925343,NA,9.90348755253613,NA,63,12,NA,50,6,75,NA,NA,NA,64,8,50,34
11.2384886192685,11.2644641056717,11.0508900053737,NA,70,10,NA,60,15,NA,70,16,70,NA,NA,54,48
NA,NA,NA,NA,95,4,95,NA,NA,NA,NA,NA,NA,NA,NA,63,54
9.19013766465866,NA,11.6952470217642,NA,55,14,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
10.7144177687525,NA,11.3385720778255,70,NA,NA,55,NA,NA,NA,80,19,NA,73,2,48,41
NA,10.6454248972655,11.1844213979982,85,NA,NA,80,NA,NA,NA,81,1,82,NA,NA,60,51
9.89343721668263,9.7981270368783,11.2384886192685,NA,80,12,NA,72,6,NA,NA,NA,NA,NA,NA,NA,51
NA,NA,11.6952470217642,78,NA,NA,65,NA,NA,NA,70,10,60,NA,NA,40,27
12.5061772379805,9.10497985631836,9.89343721668263,55,NA,NA,50,NA,NA,NA,52,9,52,NA,NA,27,28
11.7610347623022,NA,9.39266192877014,62,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
10.6454248972655,NA,11.0974100210086,NA,67,24,NA,55,8,NA,66,20,NA,57,15,50,40
10.6454248972655,8.29404964010203,11.6952470217642,100,NA,NA,90,NA,NA,NA,95,20,NA,85,10,60,56
9.68034400122192,8.51719319141624,10.3089526606443,NA,70,12,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
11.0348896640272,NA,NA,55,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,8.69951474821019,9.7981270368783,NA,40,37,75,NA,NA,NA,60,19,NA,55,7,50,44
10.4912742174382,10.6454248972655,10.8967393255464,60,NA,NA,50,NA,NA,65,NA,NA,54,NA,NA,40,37
NA,NA,9.90348755253613,NA,70,15,80,NA,NA,NA,55,38,NA,45,40,NA,57
11.982929094216,11.289781913656,11.0666383623418,80,NA,NA,NA,25,45,NA,85,12,NA,80,1,65,49
NA,NA,NA,NA,80,12,NA,70,7,NA,60,35,NA,80,15,75,50
11.8204101647182,11.6082356447746,12.1007121298723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
10.4912742174382,11.0020998412042,10.77895628989,75,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
9.61580548008435,11.982929094216,12.3883942023241,NA,67,10,62,NA,NA,NA,55,4,54,NA,NA,31,28
12.4090134895269,10.5966347330961,11.0020998412042,NA,67,3,64,NA,NA,70,NA,NA,NA,58,8,37,28
11.8844890214027,NA,NA,46,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
8.51719319141624,NA,10.77895628989,NA,65,20,60,NA,NA,NA,70,11,60,NA,NA,36,34
NA,8.98719682066197,10.9508065468167,NA,NA,38,NA,67,30,NA,NA,NA,NA,NA,NA,73,63
8.13153071060425,NA,NA,67,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
11.1562505210315,9.21034037197618,9.90348755253613,75,NA,NA,70,NA,NA,90,NA,NA,NA,40,48,50,38
8.79482492801452,7.9373746961633,10.2255710517052,NA,63,16,NA,37,24,NA,70,12,NA,58,10,67,51
10.3734911817819,10.1266311038503,11.6952470217642,NA,70,15,NA,65,8,NA,NA,NA,NA,NA,NA,NA,60
8.00636756765025,NA,11.0020998412042,NA,75,6,NA,60,5,NA,NA,NA,NA,NA,NA,NA,60
NA,NA,9.90348755253613,NA,70,30,NA,55,15,NA,75,35,NA,35,23,69,62
10.0858091093301,7.78322401633604,10.360912399575,68,NA,NA,57,NA,NA,NA,NA,NA,67,NA,NA,38,26
NA,NA,NA,90,NA,NA,80,NA,NA,NA,98,3,NA,45,30,65,64
10.3089526606443,10.8780471925343,9.39266192877014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
10.77895628989,NA,11.8775685785581,80,NA,NA,75,NA,NA,NA,82,13,85,NA,NA,50,42
12.2060726455302,11.0020998412042,11.0020998412042,78,NA,NA,72,NA,NA,75,NA,NA,67,NA,NA,36,29
8.29404964010203,8.98719682066197,10.0858091093301,NA,72,17,70,NA,NA,NA,67,30,NA,50,34,69,51
