"male","land","age","dead","landf","agef","deadf"
0,38.5,6,1,90,10,1
0,30,5.1,1,0,8.9,1
0,240,3.1,1,491,NA,0
0,0,3.8,1,480,8.2,1
0,5,3.2,1,500,8,0
0,360,2.4,1,366,6,0
0,365,5.7,1,500,7.7,1
0,4.5,5.1,1,132,9.5,0
0,0,2.4,1,5,7,1
0,30,4.2,1,484,8.5,1
0,368,5.3,1,372,9.5,1
0,126,5,1,360,9.6,1
0,5,5.2,1,480,7.5,1
0,7,5.8,1,57,NA,0
0,0,3.2,1,3,7,0
0,42,5.6,1,84,9,1
0,0,2.7,1,126,5.5,0
0,12,4,1,100,7.8,1
0,125,5.3,1,735,9.8,1
0,252,4.3,1,250,7,0
0,0,2.2,1,14,7,0
0,0,4.7,1,96,8.5,0
0,25,3,1,380,7.5,0
0,31.5,5.2,1,30,11.2,1
0,4,5.1,1,0,7.5,0
0,126,3.9,1,96,NA,0
0,0,2.2,1,6,7.2,0
0,0,3.6,1,126,7.7,1
0,72,5.5,1,390,9.5,0
0,18.5,5,1,492,9,1
0,50,3.7,1,0,7,0
0,78,3.6,1,0,7.3,1
0,3,3.8,1,78,NA,0
0,18,3.2,1,258,5,0
0,0,2.3,1,85,7.2,1
0,0,3.3,1,13.5,5,0
0,5,5.4,1,24,9.5,1
0,0,2.5,1,135,5,0
0,36,5,1,120,7.5,0
0,27,5,1,130,9,0
0,0,2.8,1,38,NA,0
0,0,3.6,1,10,7.5,0
0,0,2.5,1,252,8,0
0,0,3.1,1,500,5.5,0
0,36,6.3,1,6,8.4,1
0,7.5,5.1,1,0,NA,0
0,19.5,6.4,1,3,9.2,1
0,245,3,1,480,6.7,0
0,0,2.3,1,3,4.8,0
0,0,2.5,1,7.5,5.5,0
0,0,4.5,1,132,8.7,1
0,7.5,4.6,1,3,7,1
0,77,4.5,1,484,NA,0
0,6,4.3,1,49.5,NA,0
0,78,4.2,1,360,7.8,0
0,1080,5.7,1,0,8,1
0,66,3.7,1,150,7,0
0,2,4.1,1,132,9.3,1
0,6,5.5,1,9,9.9,1
0,4.5,5.6,1,84,9.1,1
0,25.5,3,1,300,7.5,0
0,0,3.3,1,9,6,0
0,0,2.9,1,144,4.5,0
0,8,4.3,1,252,9.1,1
0,11,2.8,1,850,7.6,1
0,0,2.7,1,360,7.8,0
0,0,2.4,1,50,6,0
0,129,5.9,1,400,9.5,1
0,3,4.2,1,55,NA,0
0,5,5.6,1,135,9,1
0,13.5,5.5,1,18,8.3,1
0,66,3.6,1,1080,8,0
0,126,5.4,1,250,11.5,1
0,495,5.1,1,30,8.2,1
0,3,5.2,1,252,7.5,1
0,4,6.4,1,0,7.2,1
0,53,4.6,1,270,7,1
0,0,2.8,1,30,7.2,0
0,18,4.5,1,620,7.8,1
0,2,4.9,1,10,NA,0
0,24,5.9,1,247.5,10,1
0,0,2.3,1,17.5,7.3,0
0,0,3,1,130,NA,0
0,0,4.1,1,128,7.2,1
0,0,2.2,1,147,6,1
0,126,6.1,1,1680,10.5,1
0,0,2.3,1,67,NA,0
0,3,4.6,1,125,NA,0
0,1,3,1,25,7.5,0
0,4.5,6.1,1,0,NA,0
0,2,3.7,1,550,7.9,1
0,25,4,1,85,8.2,0
0,63,4.9,1,960,8,0
0,376,6,1,1926,10.1,1
0,25,4.2,1,252,7.6,1
0,94,3.3,1,150,7.3,1
0,130,2.4,1,36,5.2,0
0,20.5,3.3,1,255,8,1
0,130,4.7,1,18,9.5,1
0,500,6,1,862,10,0
0,30,5.1,1,24,10,1
0,18,4.8,1,1,10.5,1
0,80,5.9,1,0,9.7,1
0,28,4.3,1,260,8.5,1
0,18,4.3,1,33,8.4,1
0,0,3.4,1,127.5,6,0
0,250,4,1,26,8,1
0,130,6.3,1,5640,11.2,1
0,0,2.6,1,370,7.2,1
0,4,4.1,1,3,7,0
0,165,5.1,1,304.5,NA,0
0,1250,5.1,1,726,9.7,1
0,21.5,5.4,1,189,9.5,1
0,36,5.3,1,10,8.3,1
0,80,5.9,1,120,10,1
0,5,4.6,1,46,9,1
0,9,6.3,1,144,10.6,1
0,48,4.4,1,90,8,1
0,34,6,1,5,7.5,1
0,21,6.1,1,600,NA,0
0,7,5.8,1,2,9.5,1
0,248,3.9,1,240,8,0
0,18,2.2,1,22.5,5.2,0
0,2,3.5,1,3,8.2,1
0,60,5.1,1,378,7.9,1
0,0,2,1,37,5,0
0,0,4.5,1,124.5,8,1
0,45,5.4,1,738,7.7,1
0,0,2.3,1,144,6,0
0,0,2.3,1,3,7,0
0,7,4.3,1,85,7.7,1
0,0,2.1,1,126,5.5,0
0,4,4.9,1,90,8.5,0
0,0,2.8,1,10,NA,0
0,4,6.3,1,5,11,1
0,57,3.9,1,262.5,8,0
0,0,3.7,1,57,6.9,1
0,0,3.5,1,33,6.2,0
0,5,6.1,1,360,9.7,1
0,4.5,5.2,1,34,11,1
0,30,3.9,1,132,9,0
0,0,5.6,1,600,9.8,1
0,0,2.6,1,24,5.5,0
0,16,4.1,1,135,8,0
0,0,3.2,1,126,8,0
0,130,4.6,1,1200,9.8,1
0,0,2.8,1,130.5,7.7,1
0,51,4.9,1,240,8,0
0,66,5.1,1,134,9.5,1
0,6,5.3,1,12,9.5,1
0,0,3.6,1,320,6.5,0
0,49,5.1,1,256,9.2,1
0,21,4.1,1,1200,9.1,1
0,249,4.9,1,33,8.8,1
0,35,6.2,1,500,14.5,1
0,70,4.7,1,140,9,0
0,4,2.8,1,255,6,0
0,398,5.3,1,530,9.5,0
0,90,3.8,1,13,8,0
0,120,3.8,1,19,6.4,1
0,27,5.4,1,270,8,1
0,27,3,1,4.5,6.2,0
0,34,2.7,1,0,7.5,0
0,12,4.2,1,140,12.2,1
0,8,5.3,1,5,10.9,1
0,13,2.2,1,25,5,0
0,0,4.7,1,40,9.8,1
0,8,6,1,0,9.5,1
0,90,5.5,1,162,NA,0
0,10,4.4,1,140,8.8,1
0,6,4.8,1,10.5,9.3,1
0,102,4.9,1,450,10.2,1
0,49,5.2,1,249,8.8,1
0,120,2.2,1,740,5,0
0,0,3.7,1,3,6,0
0,4,3,1,30,7.6,1
0,27,5.7,1,25,9.5,1
0,155,5.9,1,285,7.8,1
0,15,4.1,1,3,6,1
0,0,2.7,1,250,NA,0
0,0,2.2,1,257,7.5,0
0,0,3.6,1,518,8.5,0
0,15,5.2,1,480,8.2,1
0,8,4.3,1,28,NA,0
0,20,2.1,1,132,6.3,0
0,0,2.6,1,360,5,0
0,20,5.3,1,0,8,1
0,0,3,1,3,NA,0
0,52.5,5.2,1,388,8.3,1
0,0,2.3,1,28,6.3,1
0,15,2.2,1,60,7,0
0,36,2.9,1,42,7.7,1
0,9,3.7,1,501,9,0
0,380,5.7,1,0,10.5,1
0,888,6,1,1080,NA,0
0,18,4,1,35,9.1,1
0,2,4.8,1,3,7.5,0
0,16,5.4,1,203,7.7,1
0,1,4.4,1,30,8.2,1
0,0,2.3,1,130,NA,0
0,39,4.8,1,72,8.2,1
0,0,3.1,1,18,8,0
0,379,6.4,1,600,8.5,1
0,5,2.9,1,33,5,0
0,0,4.7,1,150,9.7,1
0,0,2.7,1,160,7.2,0
0,3,5.1,1,5,8.5,1
0,11,3.7,1,128,7.5,0
0,5,4.7,1,90,7.4,1
0,43,5.3,1,390,10.9,1
0,0,2.6,1,54,8.1,1
0,37.5,3.6,1,120,7,1
0,141,5.1,1,480,NA,0
0,8,3.6,1,1200,8,0
0,5,4,1,4,7.6,1
0,22.5,3.4,1,13.5,6,0
0,2,3.9,1,610,7,0
0,0,2.7,1,47,6,0
0,20,2.4,1,150,8.3,1
0,0,2.3,1,2880,8.1,1
0,0,3.8,1,41,6.7,0
0,0,2.8,1,614,5.4,0
0,490,3.4,1,1215,NA,0
0,0,5,1,730,8,1
0,37,5.9,1,0,10,1
0,24,3.2,1,40.5,6.5,1
0,22,4,1,140,8,0
0,2,3.6,1,8,7,0
0,84,5.6,1,240,11,1
0,120,5.1,1,0,10,1
0,3,2.8,1,7.5,6,1
0,0,3.1,1,29,7.2,0
0,493,3.7,1,402,6.3,1
0,37,6.4,1,360,10.4,1
0,4,4.3,1,730,8.6,1
0,40,5.2,1,130,9.2,1
0,20,5.2,1,0,9.2,0
0,14,2.5,1,12,6.2,0
0,12,4.4,1,0,8,1
0,9,3.7,1,270,8.2,1
0,1250,6.4,1,258,9,1
0,12,2.8,1,22,6,0
0,0,3.6,1,360,5,0
0,0,3.2,1,7.5,NA,0
0,8,5,1,10,7,0
0,3,2.8,1,45,9,0
0,0,2.1,1,24,6.5,0
0,84,4.7,1,0,7.2,1
0,0,2.2,1,6,5.1,0
0,255,4.2,1,492,8,0
0,2,2.8,1,192,8,0
0,42,5.2,1,265,9,1
0,2,4.8,1,311,8.8,0
0,3,5.6,1,47.5,NA,0
0,0,2.7,1,400,7.7,1
