"RESPONDENT.ID","father.year.birth","mother.year.birth","father.education.years","mother.education.years","child.year.birth","son.RS","daughter.RS","son.education.years","daughter.education.years"
136,1932,1945,12,0,1965,3,NA,15,NA
104,1947,1957,12,0,1977,NA,NA,7,NA
101,1932,1940,0,0,1962,1,NA,10,NA
389,1935,1948,7,10,1972,NA,3,NA,NA
284,1946,1953,15,10,1979,NA,NA,15,NA
54,1938,1944,17,7,1966,NA,NA,15,NA
344,1937,1952,0,0,1975,3,NA,0,NA
167,1924,1934,0,0,1970,NA,NA,NA,NA
362,1938,1961,7,0,1980,NA,NA,10,NA
28,1948,1954,15,12,1981,NA,NA,NA,15
26,1922,1925,13.5,10,1957,NA,2,NA,15
116,1942,1952,10,7,1976,NA,1,NA,10
312,NA,1947,0,0,1969,NA,NA,NA,7
37,1932,1944,12,0,1973,NA,NA,10,NA
191,1935,1946,15,10,1973,NA,NA,NA,15
191,1935,1946,15,10,1967,NA,1,NA,15
383,1945,1951,12,15,1980,NA,NA,13.5,NA
130,1938,1942,10,10,1963,NA,NA,15,NA
79,1931,1936,7,0,1952,3,NA,12,NA
367,1932,1934,0,0,1953,3,NA,10,NA
93,1928,1934,7,2,1952,NA,3,NA,7
24,1943,1952,15,15,1975,NA,1,NA,17
38,1944,1940,10,15,1977,NA,NA,NA,15
293,NA,1947,0,0,1969,4,NA,5,NA
371,1944,1949,0,0,1983,NA,1,NA,0
155,1942,1950,15,12,1974,NA,1,NA,17
30,1944,1954,10,10,1977,NA,NA,15,NA
167,1924,1934,0,0,1952,2,NA,13.5,NA
69,1932,1942,0,0,1962,NA,2,NA,0
127,1942,1947,15,7,1975,NA,NA,NA,7
195,1941,1956,15,2,1985,NA,NA,NA,10
332,1942,1950,13.5,2,1977,NA,NA,13.5,NA
179,1947,1955,10,10,1984,NA,NA,NA,12
209,1948,1952,0,0,1972,NA,2,NA,15
12,1924,1930,10,2,1955,2,NA,17,NA
27,1946,1955,0,0,1975,NA,2,NA,7
123,1925,1938,10,10,1957,1,NA,17,NA
307,NA,1954,2,0,1982,NA,NA,NA,2
364,1933,1944,0,5,1969,NA,3,NA,0
311,NA,1942,2,0,1974,NA,2,NA,0
193,1954,1958,10,10,1977,NA,1,NA,15
51,1942,1948,10,12,1979,NA,NA,16,NA
245,1933,1944,15,10,1970,NA,NA,15,NA
338,1942,1956,15,7,1975,NA,NA,NA,12
240,1950,1956,15,12,1976,NA,NA,15,NA
259,1952,1955,7,5,1977,NA,2,NA,10
283,1950,1954,17,15,1977,NA,NA,NA,15
65,1934,1945,7,5,1966,NA,2,NA,10
354,1944,1950,7,5,1972,NA,2,NA,7
40,1953,1957,7,7,1975,NA,NA,13.5,NA
229,1954,1957,15,15,1980,NA,1,NA,15
297,1957,1962,5,0,1975,NA,3,NA,5
27,1946,1955,0,0,1977,2,NA,7,NA
306,1952,1959,2,0,1981,NA,NA,5,NA
177,1947,1949,7,0,1975,NA,1,NA,15
65,1934,1945,7,5,1959,NA,1,NA,10
327,1946,1952,0,0,1974,NA,NA,10,NA
126,1932,1934,2,0,1972,NA,NA,7,NA
302,1960,1967,0,0,1988,NA,NA,NA,7
27,1946,1955,0,0,1983,NA,NA,5,NA
61,1933,1947,10,7,1966,NA,NA,17,NA
218,1943,1950,0,0,1977,NA,NA,0,NA
57,1941,1951,15,15,1978,NA,NA,NA,17
260,1947,1952,0,0,1970,NA,3,NA,0
58,1926,1936,17,10,1960,2,NA,15,NA
74,1938,1943,10,10,1966,2,NA,15,NA
161,1960,1965,10,0,1985,NA,NA,10,NA
386,1940,1948,12,7,1975,NA,NA,13.5,NA
161,1960,1965,10,0,1983,NA,NA,NA,12
277,1937,1944,5,10,1967,NA,NA,17,NA
364,1933,1944,0,5,1964,2,NA,17,NA
302,1960,1967,0,0,1984,NA,NA,NA,7
361,1932,1947,0,0,1977,NA,NA,7,NA
345,1912,1922,7,0,1963,NA,3,NA,12
178,1937,1939,10,7,1975,NA,NA,15,NA
195,1941,1956,15,2,1974,2,NA,15,NA
155,1942,1950,15,12,1980,NA,NA,15,NA
379,1947,1949,0,0,1969,2,NA,0,NA
381,1940,1948,15,10,1972,NA,NA,15,NA
382,1938,1947,7,2,1972,NA,NA,10,NA
14,1931,1932,10,7,1951,2,NA,16,NA
377,1935,1942,0,0,1964,NA,2,NA,0
31,1942,1950,10,10,1976,NA,NA,NA,13.5
184,1940,1950,12,7,1969,1,NA,15,NA
91,1937,1942,17,10,1974,NA,NA,NA,17
41,1935,1936,17,10,1958,2,NA,15,NA
324,1930,1936,0,0,1963,NA,NA,7,NA
344,1937,1952,0,0,1980,NA,4,NA,7
129,1946,1957,17,10,1976,NA,NA,NA,15
118,1928,1942,16,10,1969,NA,1,NA,15
358,1937,1952,0,0,1975,NA,3,NA,0
327,1946,1952,0,0,1970,4,NA,0,NA
385,1938,1952,10,10,1976,NA,2,NA,12
323,1942,1958,7,0,1986,NA,NA,10,NA
21,1920,1928,15,12,1951,1,NA,15,NA
374,1938,1944,0,0,1974,NA,2,NA,0
100,1940,1950,15,7,1970,NA,1,NA,15
398,NA,NA,17,12,1950,NA,NA,NA,19
180,1938,1944,7,0,1967,NA,2,NA,12
163,1955,1960,12,0,1978,NA,NA,15,NA
133,1938,1940,10,10,1967,NA,NA,NA,13.5
387,1945,1951,15,15,1975,NA,NA,15,NA
199,1959,1966,10,7,1982,NA,NA,NA,15
76,1945,1949,15,15,1976,NA,1,NA,15
2,1915,1930,7,7,1951,1,NA,12,NA
34,1925,1930,10,7,1969,1,NA,15,NA
151,1950,1955,10,10,1979,NA,NA,0,NA
294,1947,1957,0,0,1977,NA,NA,NA,2
309,1948,1961,12,7,1979,NA,NA,NA,10
59,1931,1941,12,7,1959,NA,2,NA,17
321,1940,NA,10,7,1976,NA,NA,7,NA
54,1938,1944,17,7,1972,NA,NA,15,NA
197,1943,1955,7,2,1978,NA,NA,15,NA
