"male","age","ed","agem","edm","agef","edf"
2,5,1,23,5,29,7
2,74,0,NA,NA,NA,NA
2,29,0,NA,NA,NA,NA
2,18,0,NA,NA,NA,NA
1,0,0,19,7,24,8
2,36,0,NA,NA,NA,NA
1,57,1,NA,NA,NA,NA
1,24,8,42,0,NA,NA
1,9,1,24,1,33,8
1,3,0,25,0,29,3
2,15,3,44,0,NA,NA
1,13,NA,NA,NA,NA,NA
1,27,8,NA,NA,NA,NA
2,14,2,29,0,31,6
1,6,0,39,0,43,0
1,33,8,NA,NA,NA,NA
2,37,6,NA,NA,NA,NA
1,41,4,NA,NA,NA,NA
1,5,0,27,2,33,8
2,33,0,59,0,62,6
1,15,5,36,0,NA,NA
2,5,NA,NA,NA,NA,NA
1,14,2,37,0,NA,NA
2,26,4,NA,NA,NA,NA
2,25,0,NA,NA,NA,NA
1,7,1,45,0,52,3
1,65,7,NA,NA,NA,NA
1,8,2,41,0,NA,NA
1,33,7,NA,NA,NA,NA
1,15,2,37,0,NA,NA
2,34,7,NA,NA,NA,NA
1,62,4,NA,NA,NA,NA
1,39,9,NA,NA,NA,NA
1,9,3,28,6,29,4
2,32,0,NA,NA,NA,NA
2,5,1,23,4,NA,NA
1,26,5,NA,NA,NA,NA
1,39,8,NA,NA,NA,NA
1,1,0,26,0,29,0
1,34,12,NA,NA,NA,NA
2,25,7,NA,NA,NA,NA
1,22,2,NA,NA,NA,NA
2,0,NA,33,0,38,0
2,12,1,36,5,NA,NA
2,17,5,35,3,NA,NA
1,6,0,28,0,32,7
2,25,0,NA,NA,NA,NA
2,4,0,32,6,NA,NA
2,41,0,67,0,NA,NA
2,4,0,24,10,29,13
2,36,4,67,0,NA,NA
1,33,8,NA,NA,NA,NA
1,16,7,34,5,51,8
2,11,1,47,2,52,0
2,14,7,44,0,47,9
2,12,5,39,5,NA,NA
1,6,2,29,8,NA,NA
1,7,NA,NA,NA,NA,NA
1,15,4,37,2,48,5
2,0,0,33,5,39,8
2,4,0,49,0,53,8
1,29,0,NA,NA,NA,NA
2,20,0,NA,NA,NA,NA
2,24,7,NA,NA,NA,NA
1,23,8,55,0,NA,NA
1,51,2,NA,NA,NA,NA
2,17,5,NA,NA,NA,NA
1,1,NA,18,8,49,8
2,21,4,NA,NA,NA,NA
1,2,0,25,6,29,7
2,1,0,30,4,NA,NA
2,55,1,NA,NA,NA,NA
2,47,0,NA,NA,NA,NA
2,18,4,49,1,79,0
1,11,2,52,2,48,8
2,3,NA,24,0,26,4
1,14,NA,NA,NA,NA,NA
2,32,0,NA,NA,NA,NA
2,54,0,NA,NA,NA,NA
1,10,4,26,6,32,4
2,24,1,42,0,42,NA
1,8,2,37,0,38,8
2,14,7,48,0,52,3
2,23,3,NA,NA,NA,NA
2,22,0,59,0,NA,NA
1,22,8,NA,NA,NA,NA
1,5,0,24,5,31,6
1,4,0,34,0,40,5
1,48,4,NA,NA,NA,NA
2,11,2,45,0,55,5
2,13,2,29,0,34,0
1,20,12,44,0,47,9
2,0,0,21,5,23,2
1,38,12,NA,NA,NA,NA
1,22,14,56,6,NA,NA
2,33,0,NA,NA,NA,NA
1,23,7,59,0,NA,NA
1,2,0,49,0,NA,NA
2,1,0,27,4,31,3
1,10,1,30,0,34,8
1,61,6,NA,NA,NA,NA
2,47,2,NA,NA,NA,NA
1,19,3,54,1,75,6
1,37,0,NA,NA,NA,NA
1,16,8,30,0,32,0
1,31,7,NA,NA,NA,NA
2,41,0,NA,NA,NA,NA
2,17,0,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
2,31,0,NA,NA,NA,NA
2,3,0,23,4,29,3
1,27,10,NA,NA,NA,NA
1,37,8,NA,NA,NA,NA
1,8,1,29,0,34,8
2,1,0,22,0,30,6
2,0,0,24,0,30,3
2,27,7,57,0,NA,NA
1,10,NA,NA,NA,NA,NA
1,45,7,NA,NA,NA,NA
2,31,0,NA,NA,NA,NA
1,18,0,32,0,33,4
1,4,0,24,0,NA,NA
2,5,0,37,0,40,7
2,24,0,NA,NA,NA,NA
2,46,0,NA,NA,NA,NA
1,8,1,54,1,75,6
2,20,4,NA,NA,NA,NA
2,9,0,27,0,36,3
2,44,5,NA,NA,NA,NA
2,14,8,44,0,57,4
2,24,3,47,0,NA,NA
2,3,0,38,0,49,4
2,37,0,NA,NA,NA,NA
1,2,0,23,6,27,0
1,7,0,31,0,39,8
2,45,0,NA,NA,NA,NA
1,61,6,NA,NA,NA,NA
2,0,0,37,0,40,5
1,15,3,47,0,NA,NA
1,40,8,NA,NA,NA,NA
2,1,0,20,4,28,8
1,17,0,44,0,49,0
2,23,0,NA,NA,NA,NA
2,38,0,NA,NA,NA,NA
2,32,0,-2,0,NA,NA
1,35,6,NA,NA,NA,NA
1,0,0,23,0,31,0
2,28,0,NA,NA,NA,NA
2,4,0,33,0,33,12
2,24,7,NA,NA,NA,NA
2,4,1,55,0,NA,NA
1,21,3,NA,NA,NA,NA
2,1,0,35,5,36,3
1,15,1,36,0,40,8
1,27,0,NA,NA,NA,NA
2,10,1,32,0,NA,NA
2,0,0,45,1,48,4
1,52,0,NA,NA,NA,NA
2,39,0,NA,NA,NA,NA
2,26,0,NA,NA,NA,NA
2,25,2,NA,NA,NA,NA
2,24,0,NA,NA,NA,NA
1,25,8,NA,NA,NA,NA
2,6,0,35,0,37,0
2,41,0,NA,NA,NA,NA
1,32,4,NA,NA,NA,NA
2,34,0,NA,NA,NA,NA
1,21,8,54,1,75,6
2,23,3,NA,NA,NA,NA
1,0,0,19,4,22,0
1,7,1,28,10,32,8
1,5,0,21,0,NA,NA
2,2,0,33,0,41,8
1,1,0,22,0,25,5
2,25,3,47,0,NA,NA
2,2,0,25,8,28,14
1,34,8,NA,NA,NA,NA
2,3,0,32,0,39,0
1,27,5,NA,NA,NA,NA
2,16,3,47,0,NA,NA
2,34,4,NA,NA,NA,NA
2,21,6,NA,NA,NA,NA
2,2,0,31,3,32,9
1,9,4,32,0,NA,NA
2,14,6,41,0,NA,NA
1,16,4,39,0,NA,NA
1,47,7,NA,NA,NA,NA
1,9,2,24,2,NA,NA
1,18,11,35,0,37,12
2,22,0,37,0,NA,NA
2,17,3,53,2,NA,NA
1,5,0,27,0,36,3
1,23,16,51,7,57,8
1,15,10,44,9,NA,NA
1,63,0,NA,NA,NA,NA
2,6,0,46,4,53,6
2,55,0,NA,NA,NA,NA
1,0,0,30,0,34,8
2,27,5,NA,NA,NA,NA
2,25,2,NA,NA,NA,NA
2,57,0,NA,NA,NA,NA
2,30,4,NA,NA,NA,NA
2,51,0,NA,NA,NA,NA
1,52,0,NA,NA,NA,NA
2,32,3,NA,NA,NA,NA
2,1,0,26,7,NA,NA
1,30,7,NA,NA,NA,NA
1,27,0,NA,NA,NA,NA
2,18,NA,NA,NA,NA,NA
2,4,1,22,3,35,2
2,15,5,31,0,39,8
2,39,0,NA,NA,NA,NA
1,13,3,37,2,48,5
1,12,2,31,3,33,8
1,38,6,NA,NA,NA,NA
1,48,8,NA,NA,NA,NA
2,7,0,29,0,33,8
1,30,7,NA,NA,NA,NA
1,23,3,41,0,42,5
1,13,5,35,2,41,4
1,24,8,57,0,NA,NA
2,1,0,22,0,29,0
1,33,8,59,0,60,NA
2,8,1,26,5,NA,NA
