"mainsub","relathh","male","age","hhgardsize","agem","gardsizem"
1,6,1,8,1,35,1
1,6,1,18,2,58,2
1,5,2,1,3,42,3
1,6,1,5,1.5,37,1.5
1,2,2,23,5.5,53,2
4,1,1,26,NA,NA,NA
1,6,1,3,1.5,23,1.5
1,6,1,2,4,29,4
1,2,2,49,4,71,1
1,5,2,0,1.5,25,1.5
1,6,1,10,2,33,2
1,1,2,63,4,NA,NA
1,1,1,40,3.5,60,6.5
1,8,1,18,5,NA,NA
1,6,1,7,3,46,3
1,1,2,31,5,NA,NA
1,1,1,26,2,NA,NA
2,6,1,3,NA,24,NA
1,1,1,29,1,NA,NA
1,1,1,23,4,NA,NA
1,6,1,13,2,40,2
1,1,2,26,1,NA,NA
1,1,1,34,2,NA,NA
1,5,2,3,3.25,31,3.25
1,5,2,19,2,53,2
1,6,1,1,3,18,3
8,18,1,7,NA,NA,NA
1,6,1,2,5,21,5
1,6,1,3,2,23,2
3,1,1,25,NA,NA,NA
1,17,2,5,1,NA,NA
1,2,2,49,4,NA,NA
3,1,1,33,NA,NA,NA
1,6,1,3,2,NA,NA
1,6,1,3,2,21,2
1,5,2,4,4,23,4
7,1,2,18,NA,NA,NA
1,5,2,14,3,46,3
1,6,1,16,5,35,5
1,2,2,21,1.25,NA,NA
6,1,1,38,3,NA,NA
1,2,2,48,2.5,NA,NA
1,6,1,0,2,21,2
1,6,1,14,2,37,2
4,1,1,49,1,NA,NA
1,5,2,10,1,31,1
1,6,1,15,3.25,47,3.25
1,6,1,5,2,23,2
1,6,1,12,1,31,1
1,1,1,28,0.5,NA,NA
1,23,2,17,4.5,NA,NA
1,5,2,20,2,41,2
1,5,2,6,2,31,2
1,5,2,7,2,41,2
1,2,2,31,1,60,4.5
4,2,2,28,NA,NA,NA
2,1,1,38,NA,NA,NA
1,2,2,31,4,NA,NA
1,2,2,39,6,NA,NA
1,1,2,44,2.5,NA,NA
1,2,2,54,4,NA,NA
1,6,1,1,2,23,2
1,5,2,8,1.5,37,1.5
1,1,1,24,2.5,NA,NA
1,5,2,18,2,42,2
1,5,2,9,2,47,2
1,56,1,7,3,NA,NA
1,1,2,50,2,NA,NA
1,1,2,55,2,NA,NA
1,1,1,33,3.5,NA,NA
1,5,2,11,2.5,29,2.5
1,9,2,8,2,NA,NA
1,1,1,26,1,NA,NA
1,5,2,2,3,24,3
1,9,2,11,3,NA,NA
1,1,1,33,4.5,NA,NA
1,6,1,13,2,48,2
1,6,1,3,2,26,2
1,5,2,5,1.5,33,1.5
1,6,1,9,2.75,33,2.75
1,6,1,10,3,32,3
1,6,1,19,5,55,5
1,5,2,4,2,27,2
