"id","age","male","rs","idm","agem","rsm","idf"
"a80yk",31,1,2,"kcg3b",NA,NA,"kcg3b"
"z3ypi",68,2,6,"kcg3b",NA,6,"kcg3b"
"vz70o",70,1,5,"kcg3b",NA,1,"kcg3b"
"t16aa",12,2,NA,"c6aeb",35,4,"ogz2g"
"hyo4c",15,1,NA,"ce0qc",40,5,"xbpqi"
"dxmqv",13,1,NA,"dcs7a",32,6,"kcg3b"
"frl2m",5,2,NA,"jjyol",25,5,"tb6x8"
"kwjgr",37,1,2,"kcg3b",NA,2,"kcg3b"
"f8aiy",7,2,NA,"jjyol",25,5,"tb6x8"
"kr93f",12,2,NA,"kcg3b",NA,NA,"kcg3b"
"nwhmh",25,2,2,"ujdta",37,7,"kcg3b"
"wpu8y",53,2,7,"kcg3b",NA,1,"kcg3b"
"xfs77",4,2,NA,"zezxy",18,2,"k0kcr"
"xvemj",35,1,3,"kcg3b",NA,6,"kcg3b"
"b6ufu",17,2,1,"kcg3b",NA,5,"kcg3b"
"eo238",37,2,5,"kcg3b",NA,8,"kcg3b"
"q8da5",27,1,2,"kcg3b",NA,NA,"kcg3b"
"u2d12",8,1,NA,"ezw9i",35,6,"qxtf5"
"jlx29",31,2,4,"kcg3b",NA,2,"kcg3b"
"xzsln",46,2,6,"kcg3b",NA,3,"kcg3b"
"ytrco",25,1,NA,"voi08",55,8,"kcg3b"
"snslu",23,2,5,"kcg3b",NA,6,"kcg3b"
"nqo4u",16,2,NA,"hvjhy",48,3,"zp30c"
"a36c0",57,2,1,"kcg3b",NA,1,"kcg3b"
"llw9e",3,1,NA,"b2u2y",29,5,"kcg3b"
"cntgl",22,1,NA,"o7gf5",42,3,"kcg3b"
"hxiej",13,1,NA,"bey8g",32,6,"lemrr"
"jbxb4",59,1,3,"kcg3b",NA,4,"kcg3b"
"ob0mv",17,2,NA,"sbrzx",47,2,"kcg3b"
"a6a67",0,2,NA,"becnp",20,1,"kcg3b"
"c1n5x",9,2,NA,"i5qhu",43,7,"t12ts"
"k2pa4",7,2,NA,"aeufj",25,4,"p6j3q"
"o9980",17,1,NA,"sfik4",39,8,"c63zt"
"aasyg",11,2,NA,"imhmw",30,7,"rbgxs"
"w9tfy",18,2,NA,"kcg3b",NA,NA,"kcg3b"
"x6678",1,2,NA,"op6yi",19,1,"sogn4"
"q5qn0",17,2,0,"kcg3b",NA,3,"kcg3b"
"svqoy",30,1,5,"kcg3b",NA,NA,"kcg3b"
"vi180",10,2,NA,"kcg3b",NA,NA,"kcg3b"
"b3oty",16,1,NA,"nzj3n",35,5,"kcg3b"
"yn2pc",43,2,4,"kcg3b",NA,6,"kcg3b"
"fp0vn",7,2,NA,"q12ni",37,6,"kcg3b"
"z7ekl",0,1,NA,"xwyw8",21,2,"zvteg"
"ogl63",24,1,NA,"rtfuh",45,8,"pfks5"
"y4xqm",0,2,NA,"g2eht",19,1,"rpzbe"
"kioqq",10,2,NA,"kcg3b",NA,NA,"kcg3b"
"q9xvv",16,2,NA,"kw4o3",35,6,"jc71l"
"c1axe",39,1,3,"kcg3b",NA,6,"kcg3b"
"a4jy4",14,2,NA,"f2txn",41,10,"kcg3b"
"dosmf",15,1,NA,"ngtup",37,10,"b0ikf"
"h858k",55,2,8,"kcg3b",NA,1,"kcg3b"
"in1el",16,2,NA,"kill9",32,5,"ju83q"
"zcoy4",15,1,NA,"v0xbp",50,6,"kcg3b"
"g7wyt",50,1,3,"kcg3b",NA,5,"kcg3b"
"ri8y9",6,1,NA,"zlxsv",27,2,"yt4b4"
