"id","male","age","rs","mid","agem","rsm"
"z7hxb",0,37,NA,"zktoy",60,NA
"l1riq",0,23,3,"ec3o0",47,3
"pfwni",0,26,3,"jbvd2",60,4
"w8n7e",1,42,4,"fmwg4",78,8
"mvf13",0,43,9,"jbvd2",60,4
"p388t",1,43,9,"d9f84",65,6
"yptxk",0,50,11,"ujhop",70,3
"nyl1z",1,36,NA,"mkclz",NA,NA
"ruucm",1,44,NA,"juajc",NA,NA
"jv8v8",1,55,3,"tyy0x",76,5
"otpfr",1,61,14,"a98kl",82,2
"v8lni",0,26,2,"a1uf7",65,NA
"acrep",1,47,0,"bnc0l",70,2
"tsqig",0,37,NA,"bnb3y",55,NA
"i3e34",0,46,2,"xc88g",70,5
"hdybo",1,31,NA,"juajc",NA,NA
"o8dqu",1,17,NA,"cfp1b",45,NA
"g9uzu",1,39,NA,"ll8ha",64,7
"qridf",0,17,NA,"e2c56",45,5
"oqz0f",0,41,7,"vda58",64,3
"azbtu",0,27,NA,"hemnr",67,NA
"cob78",0,43,3,"pbdbh",72,3
"wh7ke",1,24,NA,"zajqp",46,4
"zskr3",0,24,NA,"zbbec",45,7
"cb6fs",1,34,2,"jps71",70,6
"ksizm",1,40,4,"uimuc",69,5
"j50ab",1,50,8,"fmwg4",78,8
"a6rft",0,40,2,"lzqz9",62,4
"gz10b",1,59,4,"tyy0x",76,5
"q8sma",0,43,6,"fmwg4",78,8
"g9god",0,30,2,"rq453",48,7
"ve5qh",0,20,1,"diftp",49,9
"wr1wx",0,35,4,"abdrh",49,5
"vnwt4",0,31,NA,"ll8ha",64,7
"sz7bd",0,67,1,"q2a4b",85,1
"jcte5",1,68,NA,"gdsxi",88,NA
"jgykv",0,36,3,"juajc",NA,NA
"tuzd4",0,31,3,"jps71",70,6
"ht70i",0,26,2,"ixugq",50,6
"pkgeo",0,39,NA,"hemnr",67,NA
"j4ltp",1,38,NA,"nxclj",57,NA
"luz1g",0,20,2,"ohmy9",56,6
"jyryd",0,22,1,"jhn9g",46,6
"fgdgm",0,50,NA,"f58rt",71,NA
"jxk0d",0,29,3,"diftp",49,9
"to51n",1,71,NA,"hyp0j",NA,NA
"ngmz5",1,30,NA,"qixz2",NA,NA
"luooz",1,24,NA,"e2c56",45,5
"xrvi2",1,24,0,"xujth",NA,5
"rg65r",0,25,NA,"nxclj",57,NA
"f8gke",1,68,NA,"d73bz",NA,NA
"p0ppu",0,46,4,"fmwg4",78,8
"bk9u5",0,48,4,"fmwg4",78,8
"d1tgc",0,18,1,"f08xe",39,6
"jsti9",0,20,NA,"s6923",NA,NA
"shcp8",1,51,12,"fmwg4",78,8
"alxen",0,46,NA,"hsaes",NA,NA
"ug9ve",1,43,NA,"hdupi",NA,NA
"amxbr",0,46,NA,"f58rt",71,NA
"mwm0p",1,27,NA,"juajc",NA,NA
"fhati",0,57,3,"dpgbp",87,4
"mu27r",0,40,7,"wcplt",67,5
"itwiv",0,32,5,"fkipx",60,4
"ocn2x",0,26,0,"cayho",48,5
"hf9pn",0,18,NA,"g6s1t",40,5
"y0enp",1,46,2,"lzqz9",62,4
"ltpt0",1,35,NA,"bnb3y",55,NA
"n3jyj",1,31,0,"diftp",49,9
"w8e8m",0,20,NA,"e5fr9",NA,NA
"vv3q1",0,16,NA,"nxclj",57,10
"ft2zd",1,26,1,"bwqw4",46,7
"v8140",0,46,NA,"uhdju",65,NA
"rln7n",1,39,NA,"hdupi",NA,NA
"fvtgj",0,17,NA,"zajqp",46,4
"wjbya",0,56,NA,"f58rt",71,NA
"cxbcz",1,46,NA,"q3m2c",NA,NA
"sldeg",1,38,NA,"qwi2n",NA,NA
"g1x36",1,42,10,"soqkb",60,6
"z1ohd",1,66,NA,"d62na",NA,NA
"znpac",0,35,5,"gyuuo",65,4
"ogqvm",1,50,NA,"hdo73",75,NA
"f5p4o",0,40,NA,"hdo73",75,NA
"buur0",1,56,NA,"fag0f",NA,NA
"bap9y",1,66,NA,"zxt6o",NA,NA
"dpogo",0,24,3,"diftp",49,9
"asbys",0,27,3,"bn5qa",60,8
"zf1rc",1,36,3,"wcplt",67,5
"udab9",0,27,3,"vzrul",46,2
"sqfvg",0,28,2,"epx6t",48,2
"ki767",1,33,3,"ohmy9",56,6
"b8x3l",1,36,NA,"s204n",NA,NA
"n65jc",0,17,1,"n7t17",38,2
"wg7wc",0,61,7,"tyy0x",76,5
"y6dpu",0,18,NA,"nxclj",57,10
"pburc",1,24,NA,"ebhfo",NA,NA
"a1go5",1,59,NA,"c2cgg",NA,NA
"f6sh8",0,46,2,"hvm38",66,2
"bw1jd",1,27,NA,"abdrh",49,5
"mgeqf",0,38,5,"e8zrj",60,2
"kj5t8",1,46,NA,"hdo73",75,NA
"bdmfj",0,41,NA,"hemnr",67,NA
"dh3bg",0,23,4,"wr8do",45,10
"bqacm",0,28,1,"wm2ze",52,6
"wuldf",1,19,1,"bwqw4",46,7
"zl0he",1,30,1,"tvt9a",47,4
"ot7mq",0,53,4,"fmwg4",78,8
"bauyn",1,22,0,"h1ltj",42,5
"j6ast",0,48,0,"pbdbh",72,3
"u0grk",1,31,2,"qczer",NA,NA
"cnghf",1,30,NA,"sxcv5",NA,NA
"g5yly",0,66,2,"u0393",86,4
"t0yio",0,41,5,"a1uf7",65,4
"f3e3v",0,24,4,"krhv0",64,8
"i7tj3",0,15,0,"ipsc6",40,7
"yhpcm",1,26,NA,"ylzz7",40,NA
"k0ljt",0,37,2,"u8585",51,6
"k87wo",1,43,NA,"ck40b",NA,NA
"n0rxm",0,46,8,"gq07d",68,2
"u85et",1,34,1,"vx58q",58,7
