"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"gz7zi",0,31,NA,8,10,2,"dzg2c",87,2,60,45,21,FALSE
"ck406",0,36,NA,6,12,5,"uudcs",78,1,45,20,16,FALSE
"egctx",0,34,2,8,12,5,"vjk8z",92,3,75,100,29,FALSE
"tn67o",1,44,2,16,3,5,"zgl66",71,2,35,30,24,FALSE
"z9ll0",1,31,1,17,17,4,"hi02h",84,4,150,300,41,FALSE
"hej7p",0,54,1,10,20,11,"sp0dp",76,1,45,20,9,FALSE
"y1u2z",1,53,NA,10,4,7,"sp0dp",76,1,45,20,9,FALSE
"l2qlh",0,41,1,30,20,10,"z68w8",79,1,30,32,20,FALSE
"a6fqi",1,40,NA,15,13,3,"heo0y",68,3,125,160,26,FALSE
"wl2ex",0,45,NA,8,14,8,"j9eh9",74,0,30,33,13,FALSE
"yrq3o",0,75,NA,9,12,5,NA,NA,NA,NA,NA,NA,TRUE
"k2clo",1,13,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"d6i6k",1,55,NA,10,10,9,NA,NA,NA,NA,NA,NA,FALSE
"oo2nw",0,30,NA,10,18,6,NA,NA,NA,NA,NA,NA,FALSE
"ci15q",1,55,1,30,7,9,"mdy6x",85,3,110,100,32,FALSE
"afc6c",1,51,NA,5,6,9,"j9eh9",74,0,30,33,13,FALSE
"eafa5",1,51,NA,2,2,1,"uudcs",78,1,45,20,16,FALSE
"hptun",1,39,NA,5,4,9,"z68w8",79,1,30,32,20,FALSE
"fod74",1,34,NA,8,10,5,NA,NA,NA,NA,NA,NA,FALSE
"t4jvl",1,33,NA,18,5,4,NA,NA,NA,NA,NA,NA,FALSE
"ccke5",1,50,NA,10,4,6,"sp0dp",76,1,45,20,9,FALSE
"zhj7e",1,35,NA,6,8,5,"qz761",66,1,40,25,10,FALSE
"qnfci",0,39,NA,10,18,6,"ycewa",73,0,10,15,11,FALSE
"isljq",0,30,NA,NA,NA,NA,"fiaob",93,2,70,150,25,FALSE
"auxil",0,39,NA,6,6,6,"j9eh9",74,0,30,33,13,FALSE
"aokok",1,45,NA,9,7,8,"ls6vw",84,3,70,90,24,FALSE
"kzxro",0,38,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"sbhcl",1,39,1,10,15,6,NA,NA,NA,NA,NA,NA,FALSE
"hyihm",1,46,1,6,5,8,"dzg2c",87,2,60,45,21,FALSE
"dlwua",0,33,NA,12,6,2,"ycewa",73,0,10,15,11,FALSE
"dishz",1,78,1,45,20,16,NA,NA,NA,NA,NA,NA,TRUE
"negnz",0,23,NA,NA,NA,NA,"uudcs",78,1,45,20,16,FALSE
"ct5lc",1,68,3,125,160,26,NA,NA,NA,NA,NA,NA,TRUE
