"age","male","livestock","agef","livestockf"
33,1,6,78,45
36,0,17,NA,NA
38,1,10,NA,NA
31,1,NA,74,30
32,0,6,66,40
42,1,11,92,75
83,1,20,NA,NA
36,0,6,90,110
34,1,5,79,20
27,0,NA,71,35
33,1,15,NA,NA
21,0,NA,79,20
78,1,100,NA,NA
33,1,15,73,95
46,1,6,87,60
44,1,9,NA,NA
44,1,14,68,125
53,0,14,83,20
35,1,12,73,95
44,1,15,92,75
36,1,17,NA,NA
39,0,6,74,30
50,0,6,85,55
15,0,NA,84,70
36,0,NA,93,70
45,1,9,84,70
33,1,1,90,12
42,0,NA,73,35
56,0,NA,90,110
70,0,10,NA,NA
37,0,12,75,100
40,1,7,84,70
46,1,8,71,35
33,1,18,NA,NA
30,0,5,NA,NA
54,1,12,83,20
73,0,3,NA,NA
35,1,6,66,40
49,1,4,79,30
21,0,NA,92,75
66,1,65,NA,NA
53,1,3,77,35
41,1,14,66,40
33,1,15,72,25
35,0,4,68,125
53,1,12,NA,NA
83,1,45,NA,NA
53,0,2,85,110
33,0,18,66,40
63,1,90,NA,NA
35,1,10,68,125
44,0,6,NA,NA
31,0,24,92,75
51,1,5,74,30
39,1,10,NA,NA
58,1,11,87,60
34,1,2,NA,NA
58,1,45,NA,NA
58,1,12,NA,NA
74,0,5,NA,NA
37,0,11,NA,NA
51,1,40,85,110
33,1,9,NA,NA
35,0,8,72,25
37,0,4,77,35
34,0,6,84,150
59,1,1,85,110
32,1,5,NA,NA
33,1,10,NA,NA
48,1,65,75,100
44,0,NA,74,30
34,0,8,92,75
46,0,18,92,75
36,0,14,92,75
38,1,10,66,40
75,0,9,NA,NA
41,1,4,85,55
39,0,10,90,12
46,0,6,77,35
47,1,11,84,150
31,0,14,84,150
34,0,4,90,12
39,0,NA,93,70
50,1,30,84,150
33,1,10,68,125
39,0,NA,87,60
40,1,25,85,110
44,0,10,85,110
44,1,30,75,100
45,1,15,80,60
33,1,NA,83,20
81,1,50,NA,NA
61,1,47,NA,NA
36,0,8,66,40
45,0,NA,93,70
38,1,2,85,55
33,0,NA,73,10
42,0,7,NA,NA
43,1,12,NA,NA
32,0,NA,93,70
41,1,2,79,20
48,0,5,NA,NA
54,0,9,NA,NA
35,0,9,NA,NA
51,1,12,92,75
54,0,4,NA,NA
21,0,NA,84,150
37,1,11,73,95
18,0,NA,75,100
34,1,15,75,100
30,0,20,84,150
51,0,6,93,70
31,1,7,85,55
41,1,14,73,95
37,1,3,71,35
75,0,0,NA,NA
46,1,1,73,10
31,1,6,84,70
51,1,7,79,30
39,0,11,NA,NA
39,1,12,73,95
85,1,55,NA,NA
38,1,4,73,10
40,1,9,87,60
55,1,30,93,70
