"male","age","RS","agef","RSf"
1,36,6,NA,NA
1,38,7,73,22
0,34,5,75,17
1,31,3,73,12
0,26,NA,87,21
1,33,7,NA,NA
1,81,26,NA,NA
0,37,5,74,13
1,40,5,85,32
0,57,7,NA,NA
0,13,NA,90,31
0,27,NA,79,23
0,45,3,78,16
0,36,5,78,16
0,37,8,90,31
0,50,NA,92,29
0,47,2,73,11
0,18,NA,75,17
0,36,6,87,21
0,20,NA,79,20
0,66,6,NA,NA
0,30,2,73,12
1,56,3,76,9
1,44,5,71,24
1,31,3,72,6
0,33,6,78,16
0,39,NA,87,21
1,33,10,NA,NA
1,46,10,NA,NA
1,42,5,73,22
1,33,8,NA,NA
0,35,7,NA,NA
0,68,7,NA,NA
1,63,24,NA,NA
0,27,NA,71,24
0,33,5,73,22
1,34,9,NA,NA
1,66,10,NA,NA
0,20,NA,68,26
1,73,22,NA,NA
1,47,4,NA,NA
1,64,3,93,25
1,35,6,NA,NA
1,63,20,90,31
1,48,14,NA,NA
0,36,4,66,10
1,50,9,83,14
0,35,4,79,23
0,63,NA,93,25
1,32,2,66,10
0,43,7,79,23
0,36,5,85,21
0,51,5,93,25
0,30,2,84,41
0,27,NA,73,11
1,40,6,77,14
0,53,7,85,32
1,47,5,90,31
0,76,2,NA,NA
1,71,24,NA,NA
1,34,3,75,17
0,54,10,NA,NA
0,42,4,87,21
0,46,8,76,9
1,51,8,79,20
1,13,NA,68,26
0,32,3,73,12
1,40,3,68,26
1,68,26,NA,NA
0,70,7,NA,NA
1,54,3,84,24
1,55,12,93,25
1,39,6,NA,NA
1,46,2,73,11
0,56,3,92,29
1,55,9,NA,NA
0,32,4,72,6
0,36,5,79,23
1,53,9,85,21
0,36,8,73,22
1,63,21,NA,NA
1,39,7,NA,NA
0,37,NA,79,20
1,17,NA,80,14
0,34,6,73,12
0,30,NA,93,25
1,63,13,NA,NA
1,53,8,77,14
0,30,3,84,24
0,33,5,80,14
0,43,NA,75,17
1,92,29,NA,NA
0,43,7,NA,NA
0,39,7,90,23
1,75,17,NA,NA
1,42,7,84,41
1,73,11,NA,NA
0,36,NA,85,21
0,34,5,92,29
1,38,5,NA,NA
1,41,9,71,24
0,53,7,90,31
1,46,7,71,24
0,35,7,NA,NA
1,35,5,73,12
0,31,7,84,41
1,51,6,92,29
1,55,5,83,14
1,41,9,79,23
1,53,18,NA,NA
0,37,3,NA,NA
1,55,7,84,24
1,51,12,77,14
0,37,5,83,14
0,36,NA,93,25
0,33,4,84,24
1,45,5,77,14
1,35,8,NA,NA
0,32,5,66,10
1,58,14,NA,NA
1,59,4,85,32
0,53,NA,83,14
1,46,2,83,14
1,84,41,NA,NA
0,43,7,71,24
1,31,4,90,23
1,35,8,NA,NA
1,33,4,79,20
1,48,7,79,23
1,39,9,79,20
1,34,4,79,20
0,39,5,85,21
1,48,11,68,26
0,80,5,NA,NA
1,38,7,80,14
1,41,11,75,17
1,33,11,NA,NA
1,44,2,78,16
1,38,4,78,16
1,31,NA,74,13
1,55,5,NA,NA
0,23,NA,79,20
0,64,8,NA,NA
0,33,2,73,11
0,34,9,NA,NA
1,38,6,66,10
1,53,12,NA,NA
0,39,6,73,11
0,49,2,85,32
1,30,NA,93,25
1,78,16,NA,NA
0,71,2,NA,NA
1,48,4,73,22
1,36,7,NA,NA
0,37,7,73,11
0,86,11,NA,NA
0,31,2,90,31
0,31,2,87,21
0,73,7,NA,NA
1,51,7,90,31
1,31,7,NA,NA
1,35,5,71,24
1,32,NA,73,22
1,42,8,NA,NA
0,32,NA,93,25
1,63,21,NA,NA
0,31,4,92,29
0,45,8,74,13
1,45,8,NA,NA
0,40,5,72,6
0,22,NA,80,14
0,39,2,NA,NA
1,65,22,NA,NA
0,79,8,NA,NA
1,52,9,84,41
0,32,4,84,24
1,45,8,84,24
1,36,9,NA,NA
0,33,1,90,23
0,26,NA,77,14
