"sex","land","kuniony","landf","uniony"
2,0,"1831",0,1795
2,0,"1766",0,1735
2,0,"1812",3,1777
1,140,"1782",143,1743
2,0,"1758",43.5,1726
2,3,"1844",147,1797
1,128.25,"1859",228.350006103516,1810
1,0,"1813",0,1785
2,0,"1774",5,1742
2,14.5,"1812",18,1790
1,77,"1779",188.5,1751
2,80,"1782",278,1761
1,18,"1760",206.25,1731
1,0,"1798",0,1774
1,129,"1794",137,1756
2,0,"1783",4,1753
1,0,"NA",0,1714
2,0,"1771",0,1739
2,49,"1773",0,1745
1,78,"1813",132,1775
2,0,"1739",0,1708
2,0,"1796",0,1763
2,57,"1782",8,1759
2,0,"1771",0,1745
2,2,"1807",0,1778
2,270,"1829",80,1804
1,0,"1742",0,1711
2,106,"1789",46.5,1768
2,0,"1801",0,1770
2,127,"1791",51.5,1753
2,175,"1751",60,1710
2,56,"1794",39.5,1773
2,0,"1769",0,1741
1,0,"1793",0,1766
2,0,"1791",4,1755
2,77,"1812",14,1784
2,0,"1827",0,1797
2,84,"1850",121.5,1818
1,0,"1803",0,1765
1,0,"1811",0,1760
1,0,"1808",11,1769
2,0,"1803",0,1779
1,15,"1844",10,1813
1,0,"1797",0,1741
1,0,"1805",0,1772
2,0,"1783",0,1751
2,0,"1821",0,1776
1,46,"1816",34,1778
2,67,"1769",75.25,1746
2,0,"1753",0,1726
2,0,"1803",0,1772
2,3,"1744",18,1723
1,0,"1793",2.5,1764
1,50.5999984741211,"1803",31.5,1773
1,135,"NA",76.5,1771
2,136.5,"1788",148.5,1753
1,0,"1827",0,1785
2,0,"1808",0,1778
1,0,"1799",0,1775
1,0,"1804",0,1771
1,0,"1800",0,1771
2,0,"NA",0,1753
2,0,"1765",0,1730
1,129,"1794",144,1758
2,0,"NA",2.5,1736
1,0,"NA",0,1766
1,0,"1805",0,1772
2,0,"1759",204,1731
2,0,"1799",109,1766
2,0,"1734",0,1704
2,94,"1820",77,1793
2,0,"1762",0,1735
1,184,"1864",385,1828
2,0,"1833",0,1798
2,90.25,"1772",71.25,1743
2,0,"1762",13,1740
1,14.5,"1816",28.8999996185303,1783
2,130,"1830",133.5,1801
1,10,"1803",56,1770
2,142.5,"1781",37,1747
2,82,"1812",103,1786
2,180,"1845",10,1816
2,0,"1803",0,1778
1,117.5,"1786",181,1746
1,0,"1794",0,1766
2,0,"1764",0,1719
1,156,"1851",385,1828
2,129,"1794",110,1765
1,81,"1786",90,1749
