"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp"
"ct88q",0,25.4500007629395,2,NA,NA,NA,NA,NA,NA,NA
"p0s62",0,67,6,NA,NA,NA,NA,NA,NA,NA
"ltxk1",1,57.7000007629395,4,NA,NA,NA,NA,NA,NA,NA
"mtp8i",1,68.6999969482422,5,NA,NA,NA,NA,NA,NA,NA
"z2m12",1,42.2200012207031,3,"sydod",77.4899978637695,NA,"y8ju8",74.6100006103516,NA,5
"lxtws",0,52,3,NA,NA,NA,NA,NA,NA,NA
"ii1ec",0,67.5100021362305,3,NA,NA,NA,NA,NA,NA,NA
"ur7r3",1,28.6000003814697,1,"z9nbx",65.0100021362305,NA,"rcztp",65.0999984741211,NA,4
"d69sx",0,29.4899997711182,4,"t2r2r",66.0400009155273,NA,"q64v6",59.9799995422363,NA,6
"za7xl",0,23.0400009155273,2,NA,NA,NA,NA,NA,NA,NA
"glwjo",0,57.6399993896484,3,NA,NA,NA,NA,NA,NA,NA
"idokq",1,69.5100021362305,7,NA,NA,NA,NA,NA,NA,NA
"z824m",0,69.5199966430664,7,NA,NA,NA,NA,NA,NA,NA
"s2p5v",1,30.9200000762939,2,"wgof5",60.0900001525879,NA,"vyc1v",72.9300003051758,NA,4
"kr5f6",1,36.0099983215332,5,"t95hv",66.879997253418,NA,"aymek",NA,NA,6
"nwdpu",0,58.9700012207031,5,NA,NA,NA,NA,NA,NA,NA
"ikrg6",1,57.9900016784668,4,NA,NA,NA,NA,NA,NA,NA
"nnho2",1,52.9599990844727,8,NA,NA,NA,NA,NA,NA,NA
"ahefc",1,28.9400005340576,4,NA,NA,NA,NA,NA,NA,NA
"ip2tn",0,40.3899993896484,6,"rsr6e",70.2200012207031,NA,"bkr3q",70.1999969482422,69.9899978637695,5
"aquxf",0,41.7700004577637,3,NA,NA,NA,NA,NA,NA,NA
"sx76v",0,66.879997253418,7,NA,NA,NA,NA,NA,NA,NA
"bp18p",0,68.9899978637695,6,NA,NA,NA,NA,NA,NA,NA
"ws2sm",1,73.4899978637695,6,NA,NA,NA,NA,NA,NA,NA
"tp2an",0,34.4900016784668,1,NA,NA,NA,NA,NA,NA,NA
"d31y5",0,59.7000007629395,6,NA,NA,NA,NA,NA,NA,NA
"lyb0t",0,52.8199996948242,4,"up5mj",79.0100021362305,NA,"zjv9r",77.7900009155273,NA,6
"jtxz9",0,36.2900009155273,4,"d1g6j",61.1199989318848,NA,"sc4rb",64.5699996948242,NA,3
"ji9m3",1,64.3399963378906,3,NA,NA,NA,NA,NA,NA,NA
"vthd1",1,69.3300018310547,7,NA,NA,NA,NA,NA,NA,NA
"lpg3g",1,53.0499992370605,4,NA,NA,NA,NA,NA,NA,NA
"zjv9r",1,77.7900009155273,6,NA,NA,NA,NA,NA,NA,NA
"ptiz9",1,28.0300006866455,1,"e7ns9",59.0699996948242,NA,"ddg2y",54.1500015258789,NA,1
"ctx4v",1,51.1699981689453,7,NA,NA,NA,NA,NA,NA,NA
"elrda",0,45,2,NA,NA,NA,NA,NA,NA,NA
"apoul",1,38.1699981689453,4,"gw8ie",66.120002746582,NA,"jjbt7",66.6399993896484,NA,5
"t0mac",0,62.2299995422363,5,NA,NA,NA,NA,NA,NA,NA
"rzttq",0,61.2000007629395,5,NA,NA,NA,NA,NA,NA,NA
"iwq1p",0,26.8899993896484,2,NA,NA,NA,NA,NA,NA,NA
"uv30e",0,40.5200004577637,5,NA,NA,NA,NA,NA,NA,NA
"bx089",0,65.7399978637695,1,NA,NA,NA,NA,NA,NA,NA
"l9rx5",1,37.1100006103516,3,"mci8a",72.4300003051758,NA,"bh0ac",72.4300003051758,NA,6
"oxpy4",0,55.1500015258789,3,NA,NA,NA,NA,NA,NA,NA
"c7529",0,74.8600006103516,4,NA,NA,NA,NA,NA,NA,NA
"kga2a",1,67,5,NA,NA,NA,NA,NA,NA,NA
"twbzp",1,59.4599990844727,7,NA,NA,NA,NA,NA,NA,NA
"gw8ie",0,66.120002746582,5,NA,NA,NA,NA,NA,NA,NA
"xzyj9",0,55.7000007629395,4,NA,NA,NA,NA,NA,NA,NA
"g9di3",0,60.8199996948242,3,NA,NA,NA,NA,NA,NA,NA
"gaoyu",1,77.379997253418,6,NA,NA,NA,NA,NA,NA,NA
"lbghi",0,56.9300003051758,5,NA,NA,NA,NA,NA,NA,NA
"bd09f",1,64.2099990844727,3,NA,NA,NA,NA,NA,NA,NA
"yrnic",1,69.9899978637695,3,NA,NA,NA,NA,NA,NA,NA
"e752v",1,60.3300018310547,3,NA,NA,NA,NA,NA,NA,NA
"jpt78",1,62.8699989318848,5,NA,NA,NA,NA,NA,NA,NA
"j5sdl",1,25.2999992370605,3,"t0mac",62.2299995422363,NA,"kga2a",67,NA,5
"p0zwg",0,62.7599983215332,2,NA,NA,NA,NA,NA,NA,NA
"hf9m4",0,39.9900016784668,1,"skwfq",63.1100006103516,NA,"wgkw4",63.2599983215332,NA,6
"yrtwv",1,80.2200012207031,7,NA,NA,NA,NA,NA,NA,NA
"yug30",1,53.3499984741211,1,NA,NA,NA,NA,NA,NA,NA
"hripd",0,63.5099983215332,1,NA,NA,NA,NA,NA,NA,NA
"kq7fb",1,38.2799987792969,3,"dv094",72.7600021362305,NA,"twfkv",68.9400024414062,NA,2
"tc6tt",1,64.2300033569336,4,NA,NA,NA,NA,NA,NA,NA
"impyp",0,61.9599990844727,5,NA,NA,NA,NA,NA,NA,NA
"ikr8h",0,54.7000007629395,2,NA,NA,NA,NA,NA,NA,NA
"e7ns9",0,59.0699996948242,1,NA,NA,NA,NA,NA,NA,NA
