"id","male","age","ed","fid","mid"
"uq8jo",1,"32.3",6,"qqeb2","vhf73"
"fkx9v",1,"18.9",12,"c1pwx","laobq"
"tvxrg",2,"24.7",8,"q3rn8","quab2"
"pyv99",2,"38.7",3,"ngzrw","h6mqk"
"ptkhd",1,"33.7",6,"mv17k","igubw"
"v7t04",2,"46.1",1,"mbqka","bhjzi"
"afaxk",1,"20.0",5,"ui1zw","fnrh7"
"nrc1n",1,"39.1",6,"ey9i7","eo6f2"
"wcb58",2,"46.8",2,"xl8lo","ixicl"
"fnrh7",2,"50.7",2,"ey9i7","eo6f2"
"u940o",1,"72.5",0,"eun98","pl3kf"
"b1cjq",2,"26.0",7,"one7i","u0w9j"
"ym67s",1,"20.9",12,"c1pwx","laobq"
"a66zl",1,"22.1",12,"qynr2","ipxc0"
"bklpe",1,"42.5",6,"nm6xb","hygdy"
"l5ul1",2,"54.1",2,"i2sdv","o028x"
"jq127",1,"24.3",9,"gf16v","sdf93"
"p9mbs",2,"25.2",6,"yaark","it7sm"
"efnon",2,"41.9",5,"obs39","x8sgu"
"sgojx",2,"85.0",0,"qe73t","g73u6"
"hidlk",1,"26.3",16,"arvpe","tbam0"
"qq8s5",1,"47.3",8,"db5hi","db5hi"
"vqep7",2,"40.7",6,"d34nl","r9dmy"
"rz4yj",2,"36.6",3,"pxjww","sj0po"
"ivgnc",1,"36.9",6,"e9vz3","g5p3v"
"tl181",2,"19.6",6,"aeb1l","s6094"
"igubw",2,"60.2",0,"v5ihv","i5oyu"
"x0sk7",2,"37.2",3,"y64od","cxj58"
"dia2i",2,"72.2",3,"wh8rm","dj7wu"
"lhbf8",2,"26.0",9,"db5hi","db5hi"
"c1pwx",1,"44.6",6,"fwusg","x9wpt"
"lxx2n",1,"29.7",9,"wev8c","yi1w0"
"v7zcv",2,"34.9",6,"up55w","xhq0w"
"sunaw",1,"55.2",3,"znh0z","w5xzc"
"dzh66",2,"26.3",6,"ts1ou","ncixx"
"mopab",1,"28.1",6,"esr47","j0fcj"
"igvpv",1,"37.8",6,"ey9i7","eo6f2"
"m6l1t",2,"31.2",6,"y64od","cxj58"
"qyf9q",2,"23.8",9,"sunaw","v7t04"
"o5q9f",2,"56.4",0,"v5ihv","i5oyu"
