"id","sex","age","height","fid","mid"
"tkf0n",2,"44.7",144.2,"a54s6","erfcv"
"tu8zo",1,"23.4",NA,"ov7il","thfh2"
"vj9l7",1,"51.7",154.6,"xdh34","t5w88"
"atj35",1,"22.0",149,"dpays","er9n2"
"dt63k",2,"27.1",NA,"ijfrb","ms2tt"
"n3lye",2,"23.6",137.7,"vj9l7","lmuzm"
"k55q8",1,"61.0",152.1,"uil3p","qf7bq"
"cpd6j",2,"43.4",139.3,"yv8lp","khsu3"
"nhnk1",2,"19.6",147.2,"ne8oj","o4evo"
"y0ail",2,"38.8",135.9,"mze3k","i5z44"
"v3dwk",2,"49.0",142.6,"ol9kl","tzy5r"
"a18yi",2,"38.7",133.8,"mze3k","i5z44"
"k9auq",1,"50.7",158.5,"j3jnw","f0mm5"
"q9iym",2,"56.9",142.5,"ca3ci","mp19o"
"ft9k0",2,"46.5",144.2,"zrhdg","pbzat"
"kfti8",1,"28.1",NA,"k9auq","uuelm"
"xyvxn",1,"80.7",152.4,"objqj","zbjve"
"s6d6b",1,"22.9",168,"bdwb9","wackq"
"uef8f",2,"20.3",150.5,NA,NA
"qfq4s",2,"50.5",139.6,"pjvz9","sxurt"
"mggc6",2,"72.2",137.8,"uil3p","qf7bq"
"j3jnw",1,"78.1",149,"fco20","zpcwz"
"ne8oj",1,"63.3",159.2,"ipgld","bzr8w"
"e51cc",2,"72.0",134.7,"fco20","zpcwz"
"z05kl",1,"35.7",153.6,"j3jnw","f0mm5"
"j5yur",2,"24.9",142.3,"bdwb9","wackq"
"odz8a",1,"27.9",165.4,"txqrc","q9iym"
"zf1fk",1,"19.7",NA,"nynn6","ndejr"
"gq3gd",2,"19.4",NA,"wldhj","kbsr4"
"d8py8",2,"25.2",NA,"ko5h7","la3pd"
"iqmww",2,"24.2",143,NA,NA
"f7pt1",2,"31.2",146.1,"sra8x","zlpcl"
"ndejr",2,"50.5",139.4,"xyvxn","mggc6"
"xkywa",2,"46.8",143.4,"hoipd","nbdvk"
"dnrjx",2,"27.8",141.5,NA,NA
"lq3d2",2,"31.1",143,"bdwb9","wackq"
"v4apq",1,"#REF!",154.5,"higde","dutee"
"txqrc",1,"57.1",170.6,"ssrlg","f9mmx"
