"id","sex","age","rs","fid","mid"
"ueh9i",1,"22.1",1,NA,NA
"agdja",2,"26.0",NA,"t91b5","fqgw8"
"gjis2",1,"27.0",3,"sdc49","znfyj"
"pg72u",2,"23.7",2,"dlnwe","py2py"
"pg214",2,"62.0",6,"e4zuf","bwo8l"
"z7xx0",2,"75.1",6,"scdr8","hi3gl"
"fa8c9",2,"41.3",6,"v2ttr","dr99y"
"nzvva",1,"46.4",3,"n9vdj","x1ih6"
"u5jv3",1,"37.8",3,"tnli7","sspbj"
"w24h5",1,"58.9",4,"mzo3p","ytydj"
"l5tx1",2,"19.6",0,"tu0bj","kmv4x"
"v5vpj",2,"27.1",3,"bh2vw","jmw13"
"pgtd4",2,"39.5",2,"e0ck7","w1l38"
"o5ffi",2,"36.0",0,"v2ttr","dr99y"
"n1bxk",1,"35.7",4,"cn2zb","pg214"
"urnf7",2,"27.1",0,"hr4sf","jqeek"
"j3aw5",2,"62.1",0,"mzo3p","ytydj"
"suv87",1,"25.2",0,"ov9ns","yfgdf"
"dhqt5",1,"24.4",2,NA,NA
"cc23s",2,"49.2",0,"wknl2","grodx"
"y3abv",2,"24.2",1,"qcbex","oa486"
"w7y38",2,"26.1",4,"szkrc","c8kfb"
"t4vfc",2,"34.9",0,"owisa","b3ziq"
"gsqdd",2,"26.4",0,"hr4sf","jqeek"
"ckut0",2,"20.9",0,"d9u14","evjeo"
"gs9yk",2,"21.7",NA,"i7k2o","cho94"
"dh4uy",1,"23.4",1,"ff0if","thijm"
"z2pe2",1,"35.5",5,"ff0if","thijm"
"i0y0q",2,"50.5",8,"jnwuf","nqr58"
"mcz97",1,"22.0",0,"s3es1","fa8c9"
"fxjv6",1,"42.7",8,"v2ttr","dr99y"
"vrves",1,"59.7",6,"m069x","neshn"
"sel7k",2,"33.8",0,"ov9ns","yfgdf"
"w9szv",2,"24.4",NA,"asbyd","wea58"
"mogid",1,"",NA,"tnli7","sspbj"
"bivy5",2,"37.4",NA,"znt6x","z7xx0"
"fhea3",1,"26.1",0,"qe4pf","v7rru"
"xftap",2,"46.8",1,"wbfl4","rzilg"
"cpjc6",1,"40.0",2,"ff0if","thijm"
"fyubo",2,"26.3",2,"hl7qs","f1bvp"
"xktac",2,"22.7",NA,"t91b5","fqgw8"
"kp31d",2,"21.7",0,"fxjv6","ewj1g"
"xlmk5",1,"29.2",4,"nr6hk","j8wr1"
"yhm1p",1,"38.4",2,"f2zng","eq45w"
"g32b5",1,"26.7",1,"iob7c","hqfgs"
"w0wgg",1,"21.7",0,"t91b5","fqgw8"
"dqx0x",2,"37.2",3,"asbyd","wea58"
"gnyk5",2,"34.7",0,"dlnwe","py2py"
"eudv6",1,"42.5",4,"gk4uc","g846x"
"geve3",1,"19.7",0,"ov9ns","yfgdf"
"xes7k",1,"52.8",8,"oojgc","ira7p"
"od0m3",1,"19.1",0,"z4fs5","c9281"
"tvz3e",2,"38.8",NA,"nr6hk","j8wr1"
"leuwp",2,"27.7",NA,"xes7k","i0y0q"
"eudf5",1,"18.4",0,"eudv6","r6ln0"
"x0x2u",1,"54.1",4,"ztxbk","qaxm9"
"e9ci3",1,"30.0",2,"ov9ns","yfgdf"
"pwfjl",1,"29.7",1,"xk52i","dk30f"
"atlhz",2,"63.0",7,"su46c","y46p7"
"poy31",1,"24.3",1,"sw3lp","zqhs8"
"j8wr1",2,"59.4",8,"oojgc","ira7p"
"v2ttr",1,"61.0",6,"bzxn8","e49nh"
"ilmfz",1,"46.5",7,"n9vdj","x1ih6"
"k3myx",1,"44.6",6,"ilyyf","mzz66"
"znt6x",1,"56.3",6,"exznl","cykny"
"gm7ec",1,"32.7",NA,"owisa","b3ziq"
"d6fb1",1,"27.8",1,"jc77z","eyzt4"
"jj8q6",1,"27.9",1,"qjeh0","qtnyw"
"i6d0s",2,"19.7",0,"qcbex","oa486"
"tnli7",1,"74.7",8,"exznl","cykny"
"v1cql",2,"19.6",0,"jc77z","eyzt4"
"cb6av",2,"18.8",0,"d9u14","evjeo"
"ahoag",1,"33.7",5,"v2ttr","dr99y"
"z4fs5",1,"50.7",4,"fa7k8","atlhz"
"v12hp",1,"21.9",0,"jv3dg","tp5as"
"s55fx",2,"28.1",2,"xk52i","dk30f"
"vlcjg",1,"29.7",3,"qjeh0","qtnyw"
"wxuu8",1,"20.9",0,"k3myx","hgy8b"
"avpky",2,"22.9",2,"xk52i","dk30f"
"gtfq4",2,"48.2",0,"mzo3p","ytydj"
"k0caz",1,"26.7",0,"rz82v","klm26"
"a3vpm",2,"72.2",4,"bzxn8","e49nh"
"oz99x",2,"53.2",6,"quh2v","w8ynu"
"ljz7a",2,"28.2",0,"w24h5","dyzfa"
"si490",1,"27.0",1,"nr6hk","j8wr1"
"str9f",2,"35.4",2,"wbfl4","rzilg"
"qsd2f",1,"35.0",5,"znt6x","z7xx0"
"vukib",2,"47.4",9,"znt6x","z7xx0"
"wxnh0",1,"26.3",0,"jhlb8","fyu5o"
"rdwc7",2,"72.0",6,"dci2b","vdrsw"
"h1igx",1,"28.3",NA,"iob7c","hqfgs"
"qe4pf",1,"50.7",6,"cn2zb","pg214"
"co9ro",1,"22.2",0,"dgys2","vukib"
"vkub5",1,"23.0",0,"k3myx","hgy8b"
"eziz1",2,"24.4",0,"hl7qs","f1bvp"
"x1ih6",2,"68.7",7,"exznl","cykny"
"gb44t",2,"44.3",3,"dlnwe","py2py"
"z1mg5",1,"27.5",2,"smrgm","g8fa1"
"svmra",2,"23.1",0,"z4fs5","c9281"
"zu20j",2,"37.1",4,"e0ck7","w1l38"
"mlv5u",1,"22.3",0,"ia44h","pqce0"
"c9jzg",1,"29.7",2,"rz82v","klm26"
"hks1p",1,"27.3",0,"ov9ns","yfgdf"
"dcj38",2,"32.3",5,"nr6hk","j8wr1"
"oicv4",1,"28.7",0,"dlnwe","py2py"
"wea58",2,"61.0",7,"dguv4","rdwc7"
"rz82v",1,"#REF!",11,"piwqk","a3vpm"
"fyu5o",2,"47.8",2,"mzo3p","mzz66"
"d9ibi",2,"62.6",5,"fa7k8","atlhz"
"kafgn",2,"25.1",2,"dgys2","vukib"
"yphj1",2,"23.9",0,"qjeh0","qtnyw"
"a3s63",2,"24.2",3,NA,NA
"xk52i",1,"53.6",5,"gk4uc","d4lh6"
"ewj1g",2,"42.7",8,"n9vdj","x1ih6"
"viuuo",2,"19.9",0,"hr4sf","jqeek"
"hgy8b",2,"43.0",6,"e0ck7","w1l38"
"sva8s",2,"34.7",NA,"nr6hk","j8wr1"
"yx1do",1,"20.9",0,"sw3lp","zqhs8"
"fw7nu",1,"29.8",3,"ff0if","thijm"
"f6j7w",2,"39.3",2,"owisa","b3ziq"
"nwoux",2,"34.3",4,"ff0if","thijm"
"aymi2",2,"24.9",1,"rz82v","klm26"
"bvz5w",2,"25.3",3,"xes7k","i0y0q"
"j182x",2,"25.2",NA,"jc77z","eyzt4"
"fsfva",2,"44.7",0,"fa7k8","atlhz"
"mzz66",2,"73.3",4,NA,NA
"d6a16",1,"21.9",0,"qcbex","oa486"
"d096w",2,"36.6",7,"nr6hk","j8wr1"
"uxdn5",1,"18.4",0,"w24h5","dyzfa"
"t91b5",1,"46.5",9,"ff0if","thijm"
"h2sgo",2,"58.1",0,"wknl2","grodx"
"o4p7k",2,"54.6",0,"oojgc","ira7p"
"sspbj",2,"75.8",8,"e4zuf","bwo8l"
"yruqd",1,"26.3",2,"m759l","oz99x"
"g0olk",1,"29.7",5,"xes7k","i0y0q"
"tt8jg",1,"23.2",1,"xes7k","i0y0q"
"g281f",2,"24.2",NA,"ia44h","pqce0"
"qtnyw",2,"56.9",8,"quh2v","w8ynu"
"grodx",2,"82.1",6,"ztxbk","qaxm9"
"kgepr",1,"28.1",NA,"qe4pf","v7rru"
"e0ck7",1,"68.6",6,"m069x","neshn"
"vi2fb",2,"31.9",2,"ov9ns","yfgdf"
"e49nh",2,"98.7",5,"r6jgk","gu7my"
"c7b1z",1,"23.3",0,"jhlb8","fyu5o"
"bra10",2,"45.7",6,NA,"l4adz"
"neshn",2,"66.0",9,"y4rcc","rvcr0"
"a1qja",1,"36.0",3,"vrves","zg89p"
"j9gse",1,"38.5",2,"cn2zb","pg214"
"h0u39",1,"22.9",1,"rz82v","klm26"
"xkrs5",2,"31.5",NA,"w24h5","dyzfa"
"je4nr",2,"27.8",4,NA,NA
"jwmhl",1,"59.4",4,"fmjck","r364d"
"arnld",2,"31.2",3,"asbyd","wea58"
"l8yeb",1,"31.1",0,"dlnwe","py2py"
"g846x",2,"62.1",6,"vldzu","aw0o3"
"ao93m",2,"23.6",1,"dgys2","vukib"
"eq45w",2,"77.9",5,"xijtl","i423a"
