"id","sex","age","weight","fid","mid"
"hpwdi",2,"23.6",NA,"ss6ym","vcf74"
"lco18",1,"63.3",72,"gjcq1","qon4w"
"wpb3y",2,"34.9",67,"hfmog","rh66u"
"ja4xv",1,"18.9",NA,"j73z5","hz7vg"
"njgkg",2,"48.7",77.1,"hfmog","rh66u"
"hg91s",1,"24.1",57.9,"nqvks","dasuv"
"mzll7",1,"18.4",54.6,"p7zuj","ca1c5"
"b7305",1,"38.6",74.5,"skw45","tac6y"
"tp2vl",1,"21.9",53.7,"q8fh9","e7eau"
"ccula",2,"25.7",NA,"nqvks","dasuv"
"ioj9q",1,"29.2",65.7,"lco18","c2hy0"
"l9zkq",2,"27.1",51.7,"gieui","ufb3f"
"d43cd",1,"26.1",NA,"pbdiw","afy2x"
"g4zq4",2,"45.0",55.8,"s93mt","lij4p"
"xrr2n",1,"40.6",96.1,"m6ym5","e16q7"
"xzl8q",2,"19.7",60.1,"yyfaj","xv1g3"
"p7zuj",1,"42.5",44.3,"frf8b","woytm"
"j4ke4",2,"54.6",48.4,"fjrkq","hb7kw"
"e7ata",1,"27.3",NA,"u6r7b","u8y2s"
"d5vkc",1,"38.5",58.5,"ktmr6","tdamr"
"hdpoz",1,"22.3",57.3,"d2h54","g4zq4"
"qdzwk",2,"46.8",64.5,"qdgnm","apx76"
"dxzfq",1,"19.1",46.9,"us0ev","ryiap"
"j0hrs",2,"27.8",55.6,"skw45","tac6y"
"ss6ym",1,"55.1",57.6,"d3bap","lvgxa"
"bbiia",2,"66.0",45,"gh0c6","uexky"
"u8y2s",2,"50.5",56.6,"cmiq6","b9gyi"
"lij4p",2,"68.7",35.2,"badz3","l88oj"
"d8glm",2,"48.6",71.7,"cmiq6","b9gyi"
"p2l43",1,"22.1",NA,"nqvks","dasuv"
"dtfvw",1,"18.3",NA,"u6r7b","u8y2s"
"my9xp",2,"35.5",43.1,"frf8b","woytm"
"w43lh",1,"27.0",68,"jq227","cg7vl"
"hnxrc",1,"37.0",66.7,"frf8b","woytm"
"lvgxa",2,"72.0",44.6,"zv3oe","vdf6j"
"zog2i",1,"33.7",NA,"skw45","tac6y"
"jsbp7",1,"35.0",59.5,"rl7jy","s69q4"
"tu00n",2,"44.7",45.2,"q8mpt","st4kv"
"rm6my",2,"38.7",59.8,"km2rs","e4fbp"
"vmb1n",2,"51.5",60.8,"dxvjr","bbiia"
"ebarh",2,"31.1",60.1,"kt74u","utzss"
"rx2a4",2,"20.9",51.9,"us0ev","ryiap"
"skw45",1,"61.0",54,"vskgm","lvxsm"
"up9oc",2,"24.9",50.1,"keojj","hoxm0"
"suao5",2,"40.7",NA,"rl7jy","s69q4"
"dxvjr",1,"74.0",40.5,"ohxaf","yx7t0"
"s4ou9",2,"36.0",58.2,"skw45","tac6y"
"ho6ra",1,"36.7",58.3,"hmirb","qzipt"
"a0pvk",1,"19.3",37.1,"mdaw8","g226u"
"ley0g",2,"27.1",NA,"vfo5y","njgkg"
"ccdri",2,"22.7",NA,"ahssb","vmb1n"
"fx08j",2,"46.1",62.3,"s3jhl","qd2d8"
"woytm",2,"62.1",50.6,"iorvf","ec85a"
"ihza7",2,"62.1",71.2,"ajzmk","j9204"
"rfczg",2,"61.0",58.3,"d3bap","lvgxa"
"ksg5s",1,"28.1",NA,"pbdiw","afy2x"
"kmau6",2,"38.3",74.3,"qdgnm","apx76"
"pbdiw",1,"50.7",71.6,"ktmr6","tdamr"
"qlwxv",1,"60.8",62.3,"vskgm","lvxsm"
"sh5jo",2,"35.8",65.3,"bf5h1","zeu4i"
"w3ej4",1,"23.8",66.7,"joe76","r7qjl"
"nj8jv",1,"19.0",54.6,"kj128","pdi5v"
"pl8gw",2,"23.1",58.5,"i27nx","cs5hz"
"pdi5v",2,"47.4",44.4,"rl7jy","s69q4"
"joe76",1,"45.0",70.7,"qdgnm","apx76"
"zey88",2,"23.7",40.1,"km2rs","e4fbp"
"ooh1d",1,"85.0",NA,NA,NA
"cfufy",2,"27.7",NA,"o0gar","xi57y"
"s051q",2,"34.3",70.5,"mdwef","onoxc"
"tac6y",2,"60.2",45.2,"dxvjr","bbiia"
"ssh84",1,"26.7",NA,"jy6dv","xojwc"
"ym15a",1,"22.9",65.4,"keojj","hoxm0"
"hkwny",1,"59.4",67,"na778","hne74"
"ci26y",2,"46.7",43.4,"fjrkq","hb7kw"
"k95i1",1,"70.3",52.9,"fjrkq","hb7kw"
"g4dfg",1,"27.9",60.4,"bf5h1","zeu4i"
"km2rs",1,"66.4",74.3,"q5z5u","g4shu"
"jpd9a",2,"28.1",66.8,"h9ow8","d8glm"
"gkma0",2,"33.5",79.2,"bf5h1","zeu4i"
"mvkgb",1,"#REF!",54,"f6uo6","b1kdz"
"g226u",2,"46.6",44.4,"cmiq6","b9gyi"
"zwbjn",1,"32.3",NA,"gieui","ufb3f"
"i27nx",1,"49.4",73.8,"hmirb","qzipt"
"zfnss",2,"31.7",NA,"ys391","t69zd"
"grso8",1,"78.0",NA,"vskgm","lvxsm"
"zbnsv",2,"26.1",NA,"km2rs","e4fbp"
"yyfaj",1,"42.7",69.7,"skw45","tac6y"
"q8fh9",1,"47.1",69.2,"o2rt3","nxlv7"
"rh66u",2,"68.6",53.5,"vskgm","lvxsm"
"j73z5",1,"44.6",72.8,"o2rt3","nxlv7"
"aau2q",1,"29.7",NA,"q8fh9","e7eau"
"y8o55",2,"36.6",66.5,"lco18","c2hy0"
"l32yu",1,"22.2",53.3,"kj128","pdi5v"
"w9inc",2,"23.6",47.8,"kj128","pdi5v"
"mmd4t",1,"36.9",NA,"s93mt","lij4p"
"z92ek",1,"31.1",NA,"km2rs","e4fbp"
"m99jl",2,"21.7",43.9,"yyfaj","xv1g3"
"zv8pr",2,"19.7",49.6,"q8fh9","e7eau"
"r7caf",2,"19.9",43.9,"vfo5y","njgkg"
"ymltz",1,"29.8",64.6,"mdwef","onoxc"
"lx76q",1,"45.6",62.2,"frf8b","woytm"
"s2a2r",1,"29.7",NA,"bf5h1","zeu4i"
"wgmcd",1,"20.0",NA,"jq227","cg7vl"
"f6uo6",1,"74.7",55.1,"badz3","l88oj"
"vj85i",1,"42.5",74.9,"q8mpt","st4kv"
