"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"jn1ir",0,36,0,"ev6ni",71,0,"fd",NA,NA,NA
"drhrp",0,31,0,NA,NA,NA,"md","hniud",65,0
"set6y",0,47,0,NA,NA,NA,"md","isp5k",78,0
"fwm5h",0,17,9,NA,NA,NA,"md","f36s7",40,0
"fpf4t",0,26,9,NA,NA,NA,"md","l1wk4",67,0
"evrrl",1,18,9,"r88ux",43,9,"fs",NA,NA,NA
"hr7vx",0,20,13,NA,NA,NA,"md","hsbzy",39,0
"gu9ud",1,36,5,NA,NA,NA,"ms","ewtnl",75,0
"ey6wj",1,36,0,NA,NA,NA,"ms","hbbz3",57,0
"a7ixq",1,37,9,NA,NA,NA,"ms","pf36b",68,0
"d8if8",0,43,0,"g4jvl",70,5,"fd",NA,NA,NA
"wjq2w",1,34,0,NA,NA,NA,"ms","qo2k5",53,0
"hbo87",0,42,6,NA,NA,NA,"md","e5j0g",70,0
"j1seo",0,39,0,NA,NA,NA,"md","uooum",74,0
"kg44t",1,38,9,NA,NA,NA,"ms","wsmgs",66,0
"cswed",1,33,9,"uzug6",62,3,"fs",NA,NA,NA
"qpes8",0,18,11,NA,NA,NA,"md","pb5kv",43,0
"tlv3h",1,17,6,"eh2nl",46,6,"fs",NA,NA,NA
"pwndw",0,40,0,"b45ws",59,5,"fd",NA,NA,NA
"eff3v",0,23,6,"gj276",55,6,"fd",NA,NA,NA
"zqkxp",1,30,6,"ka6b5",73,0,"fs",NA,NA,NA
"fojad",0,18,9,"aj9kc",42,0,"fd",NA,NA,NA
"zf70w",0,32,0,"dh644",61,0,"fd",NA,NA,NA
"oyxao",1,25,4,NA,NA,NA,"ms","jb0ns",55,0
"efu3r",1,34,0,"ba3vh",59,6,"fs",NA,NA,NA
"v27s5",1,25,9,"cjruj",55,9,"fs",NA,NA,NA
"goqqi",1,27,16,NA,NA,NA,"ms","il9la",51,0
"sn4tj",1,21,9,NA,NA,NA,"ms","j3mol",44,6
"hx9z7",0,38,0,"ju28f",60,0,"fd",NA,NA,NA
"r2vfh",1,27,8,NA,NA,NA,"ms","fxk3d",46,0
"iaj7v",0,66,0,NA,NA,NA,"md","blntz",88,0
"ys09h",0,40,0,NA,NA,NA,"md","cpwgz",59,0
"pmrpx",0,31,0,NA,NA,NA,"md","e1ss0",61,0
"ndfau",0,18,14,NA,NA,NA,"md","vre33",43,0
"wrbr5",0,22,6,NA,NA,NA,"md","retho",44,3
"f8gby",1,39,2,NA,NA,NA,"ms","su58r",67,0
"bbx9l",1,40,6,"j2fcz",66,0,"fs",NA,NA,NA
"jsan6",1,42,6,NA,NA,NA,"ms","ljd2v",62,0
"r88ux",1,43,9,NA,NA,NA,"ms","x1pnr",79,0
"f0cws",0,25,3,NA,NA,NA,"md","hpcil",52,0
"bvwpb",0,36,0,NA,NA,NA,"md","mk5hj",63,0
"q9jy3",1,23,4,"wxmhg",54,0,"fs",NA,NA,NA
"iv6hz",0,21,12,"k29tj",45,6,"fd",NA,NA,NA
"gdhgd",0,34,9,NA,NA,NA,"md","ljd2v",62,0
"j8013",0,28,6,NA,NA,NA,"md","p9wkf",52,0
"tuabz",1,31,7,"xap9e",59,0,"fs",NA,NA,NA
"n0ldq",0,31,12,NA,NA,NA,"md","yurld",73,0
"by9bq",0,35,9,NA,NA,NA,"md","pnf5r",66,0
"b7vyp",1,36,0,NA,NA,NA,"ms","e3gek",63,0
"qtgpd",0,20,9,NA,NA,NA,"md","d8if8",43,0
"tpzqw",0,21,9,"e45l2",55,9,"fd",NA,NA,NA
"ryb7x",1,47,6,NA,NA,NA,"ms","cnbvf",74,0
"poaet",0,19,6,"eh2nl",46,6,"fd",NA,NA,NA
"zjk5w",1,25,9,"b45ws",59,5,"fs",NA,NA,NA
"dgto9",1,28,9,NA,NA,NA,"ms","rsjod",52,6
"itzk4",0,36,0,NA,NA,NA,"md","hniud",65,0
"mqe89",1,44,9,NA,NA,NA,"ms","tyj60",77,0
"evrrl",1,18,9,NA,NA,NA,"ms","v3m6o",44,0
"ia6ib",0,51,6,"soet5",83,0,"fd",NA,NA,NA
"f8v13",0,32,0,NA,NA,NA,"md","z0xxh",56,0
"yllix",0,23,12,NA,NA,NA,"md","hbo87",42,6
"sms4j",1,18,9,NA,NA,NA,"ms","vl4up",38,0
"sxvva",0,40,0,NA,NA,NA,"md","ez6rw",66,0
"msy6s",1,31,3,NA,NA,NA,"ms","mrlhx",72,0
