"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"sv8lt",0,27,0,"ge189",62,4,"fd",NA,NA,NA
"e7vm5",0,29,1,"kuc5t",59,6,"fd",NA,NA,NA
"x5svm",1,18,0,NA,NA,NA,"ms","plx7e",39,2
"bnxfg",0,22,0,"gqx0i",51,1,"fd",NA,NA,NA
"wylai",0,38,2,"gu34s",75,7,"fd",NA,NA,NA
"xqgun",1,27,1,"m63yf",54,4,"fs",NA,NA,NA
"bh1jo",0,20,0,NA,NA,NA,"md","fjrvd",39,2
"w3090",0,34,0,NA,NA,NA,"md","wneqi",62,4
"wi09j",0,29,1,"vdls1",66,4,"fd",NA,NA,NA
"cptdm",1,29,0,NA,NA,NA,"ms","i3s7n",55,4
"nkb2u",1,39,1,NA,NA,NA,"ms","edbtv",77,8
"vdkpm",1,55,2,NA,NA,NA,"ms","a16ov",79,2
"nghky",1,27,1,"d6wl9",51,3,"fs",NA,NA,NA
"jxmqk",1,23,0,NA,NA,NA,"ms","ubbbo",50,3
"enott",0,35,2,"v8caa",78,5,"fd",NA,NA,NA
"ysqzo",0,41,1,NA,NA,NA,"md","j0sj4",66,7
"axfuy",0,36,1,NA,NA,NA,"md","cxrym",66,5
"syhrw",0,30,2,NA,NA,NA,"md","k5m2z",53,4
"x1qkk",1,22,0,"xvwvx",46,2,"fs",NA,NA,NA
"zcuvu",0,18,0,NA,NA,NA,"md","mnlzk",45,1
"dlhz5",1,17,0,"nju1r",35,1,"fs",NA,NA,NA
"tvlz5",0,30,1,NA,NA,NA,"md","epux3",58,4
"umrxv",1,19,0,NA,NA,NA,"ms","qobqj",43,2
"havfz",0,36,0,NA,NA,NA,"md","kvbt8",61,3
"mas5l",0,20,0,NA,NA,NA,"md","o156z",46,3
"v67nv",0,30,0,"lqjbw",55,6,"fd",NA,NA,NA
"ftvc8",0,21,0,NA,NA,NA,"md","sa7l5",42,3
"bd1c9",0,22,0,NA,NA,NA,"md","fkdib",45,3
"obccs",1,29,0,NA,NA,NA,"ms","akeaq",53,4
"uqbp5",1,47,2,NA,NA,NA,"ms","j0sj4",66,7
"e7lzq",1,54,2,NA,NA,NA,"ms","w2mff",75,6
"c5tnt",0,34,1,"l6fkg",53,3,"fd",NA,NA,NA
"sky5o",1,31,2,"f5hyq",59,3,"fs",NA,NA,NA
"gsvse",0,43,2,NA,NA,NA,"md","yfaon",70,7
"zb7n2",0,31,0,NA,NA,NA,"md","svxej",52,2
"x0o6y",0,37,2,NA,NA,NA,"md","pha1c",66,4
"kdgzd",0,35,2,NA,NA,NA,"md","y8mxf",65,4
"b71wq",0,32,0,NA,NA,NA,"md","p0r9x",63,6
"gnop4",0,24,1,NA,NA,NA,"md","fc4qu",44,3
"nyvei",0,34,0,NA,NA,NA,"md","xxbgl",57,6
"qruer",0,35,0,NA,NA,NA,"md","layzg",58,3
"qqmoa",0,24,0,NA,NA,NA,"md","icu7n",56,2
"ds3lz",0,50,2,NA,NA,NA,"md","xet7k",69,6
"b07ez",1,18,0,NA,NA,NA,"ms","bawx9",44,1
"o98k3",1,33,3,NA,NA,NA,"ms","qett5",53,2
"b85oj",0,38,2,"cmrat",60,5,"fd",NA,NA,NA
"spl0a",0,40,2,"okvvh",59,5,"fd",NA,NA,NA
"cdmpr",1,33,2,NA,NA,NA,"ms","qdwnu",66,5
"kwkpz",0,28,1,NA,NA,NA,"md","g7qx6",51,3
"zr7sn",0,23,0,"py7wk",52,3,"fd",NA,NA,NA
"z2dvv",1,34,0,NA,NA,NA,"ms","k5m2z",53,4
"tf32y",0,30,1,NA,NA,NA,"md","zoq22",70,4
"fhgqp",1,17,0,NA,NA,NA,"ms","qobqj",43,2
"w132i",1,27,0,"gndql",52,3,"fs",NA,NA,NA
"tv7vg",1,25,0,"jx3s6",49,2,"fs",NA,NA,NA
"bdnxu",1,54,0,NA,NA,NA,"ms","jgm50",74,5
"s0eeb",0,47,3,NA,NA,NA,"md","t5t9d",78,2
"hio0x",1,29,1,NA,NA,NA,"ms","g20me",48,3
"xp6yl",1,23,0,"yqvl4",53,2,"fs",NA,NA,NA
