"id","sex","wealth","age","fid","agef","wealthf","mid","agem","wealthm"
"i7zb9","m",1.1527293920517,25,"tetit",57,141.580947875977,"rq6s6",52,758.383361816406
"f9b5a","f",262.216674804688,36,NA,NA,NA,NA,NA,NA
"pipy0","m",38.4835090637207,31,"x1bf1",68,21.3800601959229,"q2cpt",58,13.3333330154419
"uxm1i","f",38.4835090637207,30,"x6fx3",73,34.3379783630371,"r21qi",NA,NA
"mgw5x","m",204.335739135742,20,"tetit",57,141.580947875977,"ivv12",53,146.716659545898
"gx0yr","m",NA,NA,NA,NA,NA,NA,NA,NA
"qov42","f",812.154113769531,34,"rulto",72,452.716674804688,"r7wrq",68,452.716674804688
"l98zf","f",206.550003051758,37,NA,NA,NA,NA,NA,NA
"z4xr7","f",529.393188476562,39,NA,NA,NA,NA,NA,NA
"rx53b","m",13.3833332061768,64,"y39wa",NA,NA,NA,NA,NA
"rq6s6","f",758.383361816406,52,NA,NA,NA,NA,NA,NA
"l9ykg","f",211.283401489258,18,NA,NA,NA,NA,NA,NA
"pjval","m",197.550003051758,39,"putlx",61,73.0298080444336,"terhl",58,73.0298080444336
"jjstz","m",119.182983398438,53,NA,NA,NA,NA,NA,NA
"n3yvf","m",974.758422851562,36,NA,NA,NA,NA,NA,NA
"qg08g","m",3.88676977157593,47,"b6b6k",64,1.24689316749573,NA,NA,NA
"n9bka","f",300.716674804688,59,NA,NA,NA,NA,NA,NA
"vgnc4","f",292.216674804688,39,"pq07g",65,61.1972999572754,"q7d4e",65,61.1972999572754
"gzkuj","m",27.5499992370605,93,NA,NA,NA,NA,NA,NA
"l0meq","m",1.24689316749573,27,NA,NA,NA,NA,NA,NA
"z0lfz","f",180.029312133789,26,NA,NA,NA,NA,NA,NA
"eyhgn","m",77.174446105957,52,"uu7qp",NA,NA,"d0jbh",NA,NA
"f207v","m",5.43304204940796,50,"u8es0",68,1.24689316749573,"re7ei",79,36.5296440124512
"yl9e2","f",149.829620361328,25,NA,NA,NA,NA,NA,NA
"zowsy","f",800.874572753906,45,NA,NA,NA,NA,NA,NA
"nd3ke","m",190.253692626953,36,NA,NA,NA,NA,NA,NA
"r7wrq","f",452.716674804688,68,NA,NA,NA,NA,NA,NA
"bd4h5","m",83.3802642822266,71,NA,NA,NA,NA,NA,NA
"gt7fy","f",37.5,66,"y39wa",NA,NA,NA,NA,NA
"a2svl","f",112.550003051758,45,NA,NA,NA,NA,NA,NA
"f65bj","m",101.449333190918,67,NA,NA,NA,NA,NA,NA
"ubz70","f",64.0432739257812,28,"x1bf1",68,21.3800601959229,"q2cpt",58,13.3333330154419
"or48c","f",20.8833332061768,75,NA,NA,NA,NA,NA,NA
"uf0xk","m",827.76220703125,37,"sj1u7",84,716.883361816406,"holzk",79,716.883361816406
"k1nok","f",763.941162109375,26,"kch42",62,28.1297302246094,"qwapj",56,28.1297302246094
"nngvc","f",10,74,NA,NA,NA,NA,NA,NA
"iiglv","f",135.920989990234,46,NA,NA,NA,NA,NA,NA
"je1y4","f",101.383331298828,43,NA,NA,NA,NA,NA,NA
"l8phb","m",193.513549804688,29,"vc9z6",82,25,"r236g",73,25
"evfxy","f",NA,NA,NA,NA,NA,"soqed",43,918.922302246094
"xum2m","m",101.383331298828,54,"bh3hv",69,50.9797821044922,"vme35",NA,NA
"nv26j","m",39.2490539550781,35,"x1bf1",68,21.3800601959229,"q2cpt",58,13.3333330154419
"x6syt","f",21.2326564788818,44,NA,NA,NA,NA,NA,NA
"zilsq","f",3.88676977157593,24,NA,NA,NA,NA,NA,NA
"n96nj","f",113.050003051758,56,NA,NA,NA,NA,NA,NA
"s1g4i","m",98.8833312988281,70,NA,NA,NA,NA,NA,NA
"kp8kw","m",134.275009155273,28,NA,NA,NA,NA,NA,NA
"k915e","m",125.587760925293,27,NA,NA,NA,NA,NA,NA
"ehf9d","f",95.7276992797852,23,NA,NA,NA,NA,NA,NA
"pasei","m",20.5724868774414,33,"fvt89",65,44.1666679382324,"t1wd8",62,44.1666679382324
"kch42","m",28.1297302246094,62,NA,NA,NA,NA,NA,NA
"zns2r","m",538.343017578125,32,NA,NA,NA,NA,NA,NA
"zevw7","f",217.550003051758,55,"a9c8o",NA,NA,"vqhtg",NA,NA
"y18ju","m",144.716659545898,41,NA,NA,NA,NA,NA,NA
"vj1f2","f",111.889373779297,54,NA,NA,NA,NA,NA,NA
"udywq","m",124.814247131348,31,NA,NA,NA,"n9bka",59,300.716674804688
"dkgnr","f",465.168701171875,23,NA,NA,NA,"s26cu",38,10.6396293640137
"qwdfe","m",858.333068847656,37,NA,NA,NA,"ze9wn",58,145.716659545898
"bv5zs","f",6.5,44,NA,NA,NA,NA,NA,NA
"llciz","f",379.767181396484,31,"rulto",72,452.716674804688,"r7wrq",68,452.716674804688
"kalf1","f",1034.24096679688,37,"v4fyw",61,51.8833351135254,"p365c",NA,NA
"ka5od","m",77.6686172485352,49,"dn73z",79,119.050003051758,"hjvh6",70,119.050003051758
"btwy6","m",176.888488769531,30,"uqkmb",66,48.216667175293,"qocec",62,48.216667175293
"hmrwg","m",0.833333313465118,67,NA,NA,NA,NA,NA,NA
"zwgkk","m",30.8833332061768,62,NA,NA,NA,NA,NA,NA
"imxkd","f",0.22539547085762,19,NA,NA,NA,"l1agy",53,48.0499992370605
"pihqy","m",436.883331298828,38,"pib1y",55,1.24689316749573,"ny5us",59,138.216659545898
"k1hsf","f",29.7626686096191,58,NA,NA,NA,NA,NA,NA
"jy4ek","f",119.235321044922,19,"ua499",62,193.050003051758,NA,NA,NA
"ytffn","f",176.888488769531,25,"c6crz",57,131.216659545898,"xnh3o",55,131.216659545898
"eezat","f",131.723403930664,27,"za5qa",53,69.216667175293,"yqkmf",NA,NA
"yn4pb","f",436.883331298828,34,"vr6ch",75,40.0308837890625,"uoiuj",NA,NA
"h8rka","f",60.5585746765137,29,"n4il6",77,37.5,"gt7fy",66,37.5
"rpy6z","m",15.0500001907349,44,NA,NA,NA,NA,NA,NA
"r6to9","f",65.8833312988281,61,NA,NA,NA,NA,NA,NA
"bn725","f",293.662811279297,34,NA,NA,NA,"rs3j4",40,59.9161567687988
"hf5nx","m",206.550003051758,42,"n3zw7",58,65.7596435546875,"r6to9",61,65.8833312988281
"g7aqz","m",776.549987792969,48,NA,NA,NA,"t830b",NA,NA
"i4cps","f",18.2016716003418,30,NA,NA,NA,NA,NA,NA
"shz5s","f",149.868103027344,35,NA,NA,NA,NA,NA,NA
"ocy7c","m",8.70004558563232,45,NA,NA,NA,NA,NA,NA
"ost1a","f",37.1666679382324,49,NA,NA,NA,NA,NA,NA
"rlszw","f",163.918304443359,29,"dn73z",79,119.050003051758,"hjvh6",70,119.050003051758
"kzvuw","f",46.5668792724609,83,NA,NA,NA,NA,NA,NA
"u8vh8","f",9.69461441040039,48,NA,NA,NA,NA,NA,NA
"nkirv","m",117.28784942627,60,NA,NA,NA,NA,NA,NA
"sv4kd","m",550.549987792969,39,"a9c8o",NA,NA,"vqhtg",NA,NA
"xix9o","m",253.359512329102,30,"ucx76",59,93.8631134033203,"ykr2v",57,106.897720336914
"qonhn","f",787.549987792969,42,"ufolc",83,326.716674804688,"q9170",76,326.716674804688
"urxkg","f",NA,NA,NA,NA,NA,NA,NA,NA
"qzi5m","m",703.651184082031,26,"sezs4",47,409.166656494141,"xdrvj",45,409.166656494141
"ef12s","f",1.1527293920517,26,"kszp1",58,37.1666679382324,"ost1a",49,37.1666679382324
"tnxbc","m",52.3833351135254,36,"cc1w8",67,896.883361816406,"md1uu",62,5.83333349227905
"r24wq","m",292.216674804688,44,"s1g4i",70,98.8833312988281,"t5h7t",61,98.8833312988281
"cxmp6","f",5.83316564559937,39,NA,NA,NA,NA,NA,NA
"g0gbx","f",1.24689316749573,75,NA,NA,NA,NA,NA,NA
"vnmm6","f",20.3229141235352,37,NA,NA,NA,"osthh",59,10.8833332061768
"yowii","f",41.5755386352539,34,NA,NA,NA,"y6vpk",64,12.4779758453369
"yafwf","f",275.540283203125,23,NA,NA,NA,NA,NA,NA
"drhbu","f",0.0941638275980949,75,NA,NA,NA,NA,NA,NA
"co0dh","m",180.133605957031,35,"shp9x",NA,NA,"znc60",53,2.28135776519775
"do6xx","f",NA,NA,NA,NA,NA,NA,NA,NA
"u2spu","m",245.496536254883,30,"btbke",65,221.66667175293,"o62wn",59,221.66667175293
"r4u17","m",1.24689316749573,33,NA,NA,NA,"re7ei",79,36.5296440124512
"xl74l","m",246.452529907227,21,"beat3",NA,NA,"p7mry",46,119.182983398438
"n4il6","m",37.5,77,NA,NA,NA,NA,NA,NA
"b9usz","m",54.5295791625977,29,NA,NA,NA,NA,NA,NA
"nv7yc","m",131.078170776367,35,NA,NA,NA,"o5gr0",63,193.050003051758
"amjde","f",338.883331298828,48,"ix5j0",68,27.5298290252686,"or48c",75,20.8833332061768
"py9qa","m",122.883331298828,32,"d6gu7",NA,NA,"eq0rr",56,79.2480239868164
"rdz16","m",135.920989990234,48,NA,NA,NA,NA,NA,NA
"ffkhc","f",858.333068847656,32,"jywdm",NA,NA,"mwsbv",59,54.1666679382324
"eq0rr","f",79.2480239868164,56,NA,NA,NA,"o5nem",NA,NA
"crwr5","f",NA,NA,"f4thh",72,7.8186821937561,"jc3of",64,7.8186821937561
"xx7ig","m",83.3250122070312,31,"beat3",NA,NA,"p7mry",46,119.182983398438
"c6crz","m",131.216659545898,57,NA,NA,NA,NA,NA,NA
"ummhb","f",136.716659545898,30,"beat3",NA,NA,"p7mry",46,119.182983398438
"terhl","f",73.0298080444336,58,NA,NA,NA,"xhk8a",NA,NA
"xgpsh","m",1.24689316749573,34,NA,NA,NA,NA,NA,NA
"e203e","f",142.418746948242,21,NA,NA,NA,NA,NA,NA
"ys19l","m",739.476135253906,43,NA,NA,NA,NA,NA,NA
"kpn5c","m",399.344879150391,34,NA,NA,NA,NA,NA,NA
"qbsd7","f",11.3289070129395,19,"tbu0k",46,138.050003051758,"e2n2g",45,138.050003051758
"w3w46","f",56.3833351135254,53,"j5k7h",73,0.0941638275980949,"ijr9q",78,0.0941638275980949
"btpp6","f",1.24689316749573,18,"zqqx8",49,36.5075607299805,"f365z",45,36.5075607299805
"s3htk","m",95.7276992797852,28,"c6crz",57,131.216659545898,"xnh3o",55,131.216659545898
"wn9rg","f",14.0500001907349,32,NA,NA,NA,"xo9p6",66,112.779167175293
"he1o6","f",143.292205810547,22,NA,NA,NA,"y6vpk",64,12.4779758453369
"gqxd6","m",2.00046920776367,25,"rx53b",64,13.3833332061768,"ralcy",60,13.3833332061768
"qcsb0","f",135.920989990234,19,"xwzy6",70,10.2661380767822,"osthh",59,10.8833332061768
"bh3hv","m",50.9797821044922,69,NA,NA,NA,NA,NA,NA
"q7d4e","f",61.1972999572754,65,NA,NA,NA,NA,NA,NA
"csgeh","f",80.5233154296875,36,NA,NA,NA,NA,NA,NA
"ecoaq","m",5.54191303253174,26,"qgr4i",61,5.88333320617676,"j0l9v",49,5.88333320617676
"p498b","f",1.24689316749573,30,"vc9z6",82,25,"r236g",73,25
"hjvh6","f",119.050003051758,70,NA,NA,NA,NA,NA,NA
"vr6ch","m",40.0308837890625,75,NA,NA,NA,NA,NA,NA
"lgge4","f",NA,NA,NA,NA,NA,NA,NA,NA
"rf6bs","f",9.37700366973877,29,"bh3hv",69,50.9797821044922,"vme35",NA,NA
