"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"kfd3c","m",39.7561645507812,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tclq5","m",24.6712322235107,0.819999992847443,NA,NA,NA,NA,"h6ruz",43.6849327087402,19.0136985778809,6
"bivv4","f",19.2027397155762,0.819999992847443,"bynnz",32.0219192504883,12.8191776275635,4,"d1sha",42.8849296569824,23.6821918487549,7
"dx7dg","f",30.6767120361328,2.64000010490417,"bmle3",72.7041091918945,42.0273971557617,3,"yqf1p",37.024658203125,6.34794521331787,3
"ntc3a","f",39.9945220947266,3,"lm10r",69.4904098510742,29.4958896636963,9,"spq5s",61.8400001525879,21.84547996521,3
"fi7iz","m",22.4410953521729,1.63999998569489,"g65o5",70.7041091918945,48.263011932373,8,"eggcw",47.687671661377,25.2465744018555,9
"sg5qo","f",50.3013687133789,8,"h7q8f",82.7123260498047,32.4109573364258,7,"ja82w",75.7068481445312,25.4054794311523,7
"sh5oo","m",34.4986305236816,1.82000005245209,NA,NA,NA,NA,"ldo6h",50.6164398193359,16.1178073883057,5
"w1dnz","m",21.668493270874,0,"qqwmq",69.7013702392578,48.0328750610352,5,"zjnn6",64.6986312866211,43.0301361083984,5
"o0zj4","m",16.7561645507812,0,"ua5zs",50.9917793273926,34.2356147766113,6,NA,NA,NA,NA
"r3er9","f",34.6794509887695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"udxi5","m",46.687671661377,3.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"sa64d","f",27.6739730834961,1,NA,NA,NA,NA,"oajta",59.6958885192871,32.0219192504883,8
"pgsi1","m",22.2273979187012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mdj1r","m",20.758903503418,NA,NA,NA,NA,NA,NA,NA,NA,NA
"q3ch5","m",44.7616424560547,5,NA,NA,NA,NA,NA,NA,NA,NA
"gedxa","m",29.6739730834961,2.64000010490417,"r71dn",59.6958885192871,30.0219173431396,6,"t9ov3",56.6931495666504,27.0191783905029,6
"bbo74","f",71.3890380859375,4,NA,NA,NA,NA,"ircz1",86.7890396118164,15.3999996185303,3
"wcomm","m",24.668493270874,0.819999992847443,"difg7",34.0219192504883,9.35342502593994,6,"wif8n",51.6904106140137,27.0219173431396,7
"vsvec","m",26.5369853973389,0,"dx3a1",58.0410957336426,31.5041103363037,9,"j3a53",59.9232864379883,33.386302947998,9
"cxihe","m",37.6794509887695,5.46000003814697,NA,NA,NA,NA,"gts60",58.689998626709,21.0105476379395,6
"klgps","m",28.6739730834961,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"i3d0a","m",17.8657531738281,0,"bsnmn",60.6958885192871,42.830135345459,7,"ddyp5",55.6931495666504,37.8273963928223,7
"sibam","m",22.7780818939209,0,"pelx6",44.6849327087402,21.9068489074707,7,"h2u4u",42.6849327087402,19.9068489074707,7
"v5viw","m",47.263011932373,7,NA,NA,NA,NA,NA,NA,NA,NA
"znmtn","m",28.6739730834961,0.819999992847443,"r0ujd",61.5534248352051,32.879451751709,8,"goy7c",57.6931495666504,29.0191783905029,5
"qew3c","m",20.668493270874,0,"peio9",62.6986312866211,42.0301361083984,8,NA,NA,NA,NA
"wif8n","f",51.6904106140137,7,NA,NA,NA,NA,NA,NA,NA,NA
"mi1mb","f",28.6739730834961,3.64000010490417,"d1mdm",65.6986312866211,37.024658203125,5,"nyc7c",59.6958885192871,31.0219173431396,5
"st5hd","m",71.7041091918945,3,NA,NA,NA,NA,NA,NA,NA,NA
"jfklq","m",62.6986312866211,NA,"af96q",88.7013702392578,26.0027389526367,5,"e9jof",70.04931640625,7.35068511962891,4
"a9ejv","m",30.6767120361328,1.82000005245209,"yk1g9",58.6958885192871,28.0191783905029,7,"h4a9m",44.0301361083984,13.3534250259399,2
"z4kvj","f",29.6739730834961,1.82000005245209,"bl9vt",71.1342468261719,41.4602737426758,6,"eocnw",59.6958885192871,30.0219173431396,9
"n5lex","m",40.6821899414062,1,NA,NA,NA,NA,NA,NA,NA,NA
"zltms","f",35.6794509887695,1,"bsnmn",60.6958885192871,25.0164375305176,7,"ddyp5",55.6931495666504,20.0136985778809,7
"nfj1a","m",22.9917812347412,1.63999998569489,NA,NA,NA,NA,"yori3",45.216438293457,22.2246570587158,6
"d06wo","m",22.1041088104248,0,"p01rw",54.6931495666504,32.5890426635742,5,"h6ruz",43.6849327087402,21.5808219909668,6
"y7o31","f",25.6712322235107,2.8199999332428,NA,NA,NA,NA,NA,NA,NA,NA
"pwfuf","m",22.7452049255371,1.63999998569489,NA,NA,NA,NA,"eggcw",47.687671661377,24.9424648284912,9
"likb1","f",31.3780822753906,2,NA,NA,NA,NA,NA,NA,NA,NA
"vi3sc","f",45.3397254943848,8,NA,NA,NA,NA,NA,NA,NA,NA
"pp3q8","m",20.7452049255371,0,"ka6ve",49.7643852233887,29.0191783905029,5,"bs7le",45.7616424560547,25.0164375305176,5
"mjqyw","m",15.7506847381592,0,NA,NA,NA,NA,"qw8v1",32.6767120361328,16.9260272979736,3
