"id","idf","idm","ed","edf","edm","age","agef","agem","sex"
"ur5t2","mln9o",NA,11,10,9999,17,44,9999,"M"
"lx5vl","aefyh","h6pyj",10,9999,8,37.40999316,9999,63,"F"
"ajfaf","kdnwe","uexjh",9999,9999,9999,9999,9999,9999,"F"
"o0k8h","vqm2w","z0dcl",10,9999,9999,44.80766598,9999,9999,"F"
"xzuam","ti150","yi7z6",9,9999,9999,19.93976728,30,29,"F"
"x3w9k","q5931","dbbd7",9,9999,10,21.27857632,49,40,"F"
"vmoec","t9241","x25k6",9,9999,9999,24.32032854,64,51,"M"
"hf5cu","it2z0","cb1de",10,9999,9999,59.33196441,9999,9999,"M"
"mzxrb","wayb4","n0l9b",9999,9999,9999,9999,9999,9999,"M"
"x3von",NA,"yxpxo",9,9999,10,15.67693361,9999,36,"M"
"drs8k","q0124","cwqjd",10,9999,9999,59.62765229,9999,9999,"F"
"zko3q","m1c7w","cm7ow",9999,9999,9999,9999,9999,9999,"M"
"fw3we","icb7n","bfxhf",9999,9999,9999,9999,9999,9999,"M"
"zsr0h","q5931","dbbd7",9,9999,10,19.39219713,49,40,"M"
"njev3","g4rdd","p3nis",10,9999,9999,38.39288159,9999,67,"F"
"hn7j0","j9h27",NA,10,9999,9999,51.34291581,9999,9999,"M"
"cc567","f16hg","oqcz0",11,9999,9999,58.29431896,9999,9999,"F"
"gxyq0","cpizp","gjx1s",8,3,9999,36.96372348,78,9999,"F"
"ggbcz","lot37","h1ish",10,9999,9999,46.03148528,66,9999,"M"
"mm9ut","ybngd","bl8i0",4,9999,9999,33.76865161,52,9999,"M"
"s3ed2","l1nom",NA,11,8,9999,32.80766598,55,9999,"M"
"sz84w","a2mvk","aatg4",11,9999,3,35.8384668,9999,62,"F"
"q2amr","y0vkl","cqtsv",9,11,9999,19.03627652,45,9999,"F"
"uryvx","srgb0","va60j",11,10,10,25.92744695,53,47,"F"
"qrixf","supi3","uyquc",10,9999,9999,50.19301848,9999,9999,"M"
"eh4w9","y43x0","jgy04",11,10,9999,21.87268994,56,56,"F"
"uhpsq","vlua3","cpo8q",10,9999,9999,56.93086927,9999,9999,"M"
