"id","male","age","rs","mid","agem","rsm","fid","agef","rsf"
"jedul",1,20.81861739,0,"zei3x",42,6,"y01hx",48,6
"er9gd",0,74,3,"gcy29",NA,1,"qynlq",NA,1
"dmb3s",1,NA,0,NA,NA,NA,"kagxz",55,5
"szm04",1,20.49281314,0,"kby4w",50,1,"nlb3j",40,1
"g0kzw",1,NA,1,"p6hgw",NA,3,"visxp",NA,3
"nb5cz",1,17,0,NA,NA,NA,"lkjte",44,2
"l30oo",1,23,1,"svf0l",62,9,"xcypz",NA,8
"ulzku",0,48,5,NA,NA,NA,"yj07v",NA,1
"miiin",0,59.62765229,1,"bl8bd",NA,3,"ws1i5",NA,3
"z67cd",1,33.16084873,0,"w6ku2",NA,2,"ot0y5",NA,2
"n4g1c",0,21.10882957,1,"lg5wj",58,6,"b01r1",62,6
"ml4sf",0,21.87268994,0,"mcq2v",56,7,"sk6ab",56,4
"a2jyc",0,26.15468857,1,"twp17",54,5,"jaf2h",70,4
"c4563",0,NA,3,"qjee1",NA,2,"qlxz2",NA,2
"qg3qd",1,22.88569473,0,"gy9ug",47,5,"fb1da",53,5
"y3qmw",1,39.95071869,0,"lfv5d",67,9,"uoxxy",NA,11
"m7vrc",1,NA,1,"ueyf7",NA,2,"ql83s",NA,2
"cqd0w",0,49.07049966,4,"xvc6k",76,3,"kq41v",64,3
"jzeem",1,NA,2,NA,NA,NA,"w15zx",NA,2
"lkjte",1,43.57289528,2,"ugl72",65,1,NA,NA,NA
"j9ril",0,23.76180698,1,"s2fmg",50,2,NA,NA,NA
"mr09v",1,19,0,"m5j93",47,2,"fdlbb",46,2
"o1cwk",1,16.19712526,0,"jq6qf",37,4,"bw55a",NA,3
"q6urs",1,45.08966461,6,"fx4t9",NA,4,"lth2t",NA,4
"inreo",1,49.68925394,7,NA,NA,NA,"ibag8",NA,3
"loynm",0,41.229295,4,"qo7v2",69,5,"ydgtw",NA,5
"nolq7",0,36.79945243,1,"z5kux",NA,1,NA,NA,NA
"swwvp",0,52,3,"ohk5a",74,3,"pe4mt",NA,3
"maoc3",0,19.04722793,1,"goksu",45,2,NA,NA,NA
"nvfcv",1,35,1,"r2lf5",NA,2,"mp7qj",NA,2
"feko3",0,38.28884326,0,"jel8y",70,6,"w1mcu",78,6
"huzt3",0,60.49281314,1,"ktun4",NA,3,"lljxx",NA,3
"f3aox",0,16.31485284,0,"atrhk",40,4,"cw6c0",29,4
"lv8hm",0,38.05065024,4,"oolpr",59,4,"e5mhw",NA,4
"x50rk",0,43.05817933,3,"oolpr",59,4,"e5mhw",NA,4
"gbq7g",0,19.71526352,0,"rlk6c",38,7,"inreo",50,7
"c3trh",0,21.29226557,0,"w1k2k",43,4,"e2h3n",52,4
"w5b0a",0,38.41204654,0,"q3abf",67,3,"j69dw",67,3
"fneut",0,45.93292266,1,"flphd",59,3,"albtf",NA,3
"tv3a0",0,NA,1,"yr113",NA,4,"o1r1m",NA,4
"sox1f",1,22.09445585,0,"urfna",29,4,"fs22r",30,4
"zdfue",1,43.33470226,0,"lwbfz",70,4,"t03da",62,4
"o9q3s",1,34.36276523,0,"fsnj2",51,5,"x4i4p",66,5
"v4m4m",1,34.49691992,1,"w6ku2",NA,2,"ot0y5",NA,2
"r71qb",1,NA,0,"ed3rb",28,4,"ur7go",26,3
"d4fwk",1,83.58110883,5,"pr1wb",NA,1,"rpv0p",NA,1
"wydy8",1,NA,0,"unkxy",NA,3,"z4pux",NA,4
"e0vkk",1,22.46954141,0,"jj7rw",50,10,"nxtt2",NA,10
"y7gff",0,18.82272416,1,"q0r3x",42,3,"k0am6",48,3
"ihrei",0,27.24709103,2,"mawzw",52,4,NA,NA,NA
"pl6os",0,28.63791923,2,"lg5wj",58,6,"b01r1",62,6
"z4e18",1,NA,1,"tv6pa",NA,3,"pw3wc",NA,3
"cwnfc",1,NA,3,"p3sz4",NA,2,"njysk",NA,2
"gjkgv",1,20.41341547,0,"cgunn",49,5,"lhapd",52,5
"ubgl1",1,33.76865161,0,"w02f6",NA,3,"xc0a2",52,3
"v4dq4",1,17.90554415,0,"dvkqz",39,2,"hy0r7",61,2
"f0pn5",1,NA,2,"ne708",NA,2,"fulmu",NA,2
"h71lc",0,NA,2,"hjzvw",NA,4,"alscy",NA,4
"sbpb7",0,19.22518823,0,"jvu5n",35,3,"dhi79",42,2
"jq6qf",0,36.60232717,4,"lfv5d",67,9,"uoxxy",NA,11
"wu3fi",0,NA,1,"yu2wj",NA,3,"qbvw0",NA,3
"x1azu",0,23.07734428,0,"sgq48",NA,2,"u4g7c",50,3
"ov3vd",1,27.4770705,1,"t6y9s",NA,3,"lz3kh",57,5
"tdfuk",1,55.84668036,4,"oolpr",59,4,"e5mhw",NA,4
"urfqh",0,16.62970568,0,"ca6h7",33,2,NA,NA,NA
"ughb5",0,66.85010267,4,"nvdya",NA,1,"nqwpu",NA,1
"ugl72",0,64.68172485,1,"dla2t",NA,3,"dd5xc",NA,3
"ymb9a",1,23.02532512,1,"ujiv0",51,6,"voill",51,6
"dxyw7",0,38.38740589,1,"qx4yu",78,4,"p07sz",NA,4
"ytk6p",0,40,8,"lfv5d",67,9,"uoxxy",NA,11
